"outer_iter","noise_sigma","method","reject_rate"
1,0,"final_embedding_gaussian5",1
1,0.2,"final_embedding_gaussian5",0.998
1,0.4,"final_embedding_gaussian5",0.71
1,0.6,"final_embedding_gaussian5",0.198
1,0.8,"final_embedding_gaussian5",0.116
1,1,"final_embedding_gaussian5",0.066
2,0,"final_embedding_gaussian5",1
2,0.2,"final_embedding_gaussian5",1
2,0.4,"final_embedding_gaussian5",0.726
2,0.6,"final_embedding_gaussian5",0.148
2,0.8,"final_embedding_gaussian5",0.092
2,1,"final_embedding_gaussian5",0.08
3,0,"final_embedding_gaussian5",1
3,0.2,"final_embedding_gaussian5",1
3,0.4,"final_embedding_gaussian5",0.812
3,0.6,"final_embedding_gaussian5",0.206
3,0.8,"final_embedding_gaussian5",0.102
3,1,"final_embedding_gaussian5",0.086
4,0,"final_embedding_gaussian5",1
4,0.2,"final_embedding_gaussian5",0.998
4,0.4,"final_embedding_gaussian5",0.766
4,0.6,"final_embedding_gaussian5",0.15
4,0.8,"final_embedding_gaussian5",0.106
4,1,"final_embedding_gaussian5",0.046
5,0,"final_embedding_gaussian5",1
5,0.2,"final_embedding_gaussian5",1
5,0.4,"final_embedding_gaussian5",0.782
5,0.6,"final_embedding_gaussian5",0.224
5,0.8,"final_embedding_gaussian5",0.11
5,1,"final_embedding_gaussian5",0.058
6,0,"final_embedding_gaussian5",1
6,0.2,"final_embedding_gaussian5",1
6,0.4,"final_embedding_gaussian5",0.768
6,0.6,"final_embedding_gaussian5",0.166
6,0.8,"final_embedding_gaussian5",0.094
6,1,"final_embedding_gaussian5",0.074
7,0,"final_embedding_gaussian5",1
7,0.2,"final_embedding_gaussian5",0.998
7,0.4,"final_embedding_gaussian5",0.754
7,0.6,"final_embedding_gaussian5",0.188
7,0.8,"final_embedding_gaussian5",0.076
7,1,"final_embedding_gaussian5",0.09
8,0,"final_embedding_gaussian5",1
8,0.2,"final_embedding_gaussian5",1
8,0.4,"final_embedding_gaussian5",0.762
8,0.6,"final_embedding_gaussian5",0.222
8,0.8,"final_embedding_gaussian5",0.096
8,1,"final_embedding_gaussian5",0.106
9,0,"final_embedding_gaussian5",1
9,0.2,"final_embedding_gaussian5",1
9,0.4,"final_embedding_gaussian5",0.796
9,0.6,"final_embedding_gaussian5",0.258
9,0.8,"final_embedding_gaussian5",0.122
9,1,"final_embedding_gaussian5",0.088
10,0,"final_embedding_gaussian5",1
10,0.2,"final_embedding_gaussian5",1
10,0.4,"final_embedding_gaussian5",0.758
10,0.6,"final_embedding_gaussian5",0.196
10,0.8,"final_embedding_gaussian5",0.114
10,1,"final_embedding_gaussian5",0.058
