"outer_iter","noise_sigma","method","reject_rate"
1,0,"layer1_pool2x2_gaussian5",0.24
1,0.2,"layer1_pool2x2_gaussian5",0.184
1,0.4,"layer1_pool2x2_gaussian5",0.174
1,0.6,"layer1_pool2x2_gaussian5",0.12
1,0.8,"layer1_pool2x2_gaussian5",0.078
1,1,"layer1_pool2x2_gaussian5",0.08
2,0,"layer1_pool2x2_gaussian5",0.208
2,0.2,"layer1_pool2x2_gaussian5",0.168
2,0.4,"layer1_pool2x2_gaussian5",0.156
2,0.6,"layer1_pool2x2_gaussian5",0.108
2,0.8,"layer1_pool2x2_gaussian5",0.086
2,1,"layer1_pool2x2_gaussian5",0.07
3,0,"layer1_pool2x2_gaussian5",0.228
3,0.2,"layer1_pool2x2_gaussian5",0.184
3,0.4,"layer1_pool2x2_gaussian5",0.17
3,0.6,"layer1_pool2x2_gaussian5",0.1
3,0.8,"layer1_pool2x2_gaussian5",0.084
3,1,"layer1_pool2x2_gaussian5",0.102
4,0,"layer1_pool2x2_gaussian5",0.226
4,0.2,"layer1_pool2x2_gaussian5",0.208
4,0.4,"layer1_pool2x2_gaussian5",0.116
4,0.6,"layer1_pool2x2_gaussian5",0.088
4,0.8,"layer1_pool2x2_gaussian5",0.112
4,1,"layer1_pool2x2_gaussian5",0.084
5,0,"layer1_pool2x2_gaussian5",0.206
5,0.2,"layer1_pool2x2_gaussian5",0.176
5,0.4,"layer1_pool2x2_gaussian5",0.13
5,0.6,"layer1_pool2x2_gaussian5",0.124
5,0.8,"layer1_pool2x2_gaussian5",0.118
5,1,"layer1_pool2x2_gaussian5",0.09
6,0,"layer1_pool2x2_gaussian5",0.214
6,0.2,"layer1_pool2x2_gaussian5",0.18
6,0.4,"layer1_pool2x2_gaussian5",0.162
6,0.6,"layer1_pool2x2_gaussian5",0.11
6,0.8,"layer1_pool2x2_gaussian5",0.098
6,1,"layer1_pool2x2_gaussian5",0.068
7,0,"layer1_pool2x2_gaussian5",0.2
7,0.2,"layer1_pool2x2_gaussian5",0.166
7,0.4,"layer1_pool2x2_gaussian5",0.158
7,0.6,"layer1_pool2x2_gaussian5",0.116
7,0.8,"layer1_pool2x2_gaussian5",0.074
7,1,"layer1_pool2x2_gaussian5",0.074
8,0,"layer1_pool2x2_gaussian5",0.19
8,0.2,"layer1_pool2x2_gaussian5",0.174
8,0.4,"layer1_pool2x2_gaussian5",0.132
8,0.6,"layer1_pool2x2_gaussian5",0.096
8,0.8,"layer1_pool2x2_gaussian5",0.104
8,1,"layer1_pool2x2_gaussian5",0.086
9,0,"layer1_pool2x2_gaussian5",0.258
9,0.2,"layer1_pool2x2_gaussian5",0.206
9,0.4,"layer1_pool2x2_gaussian5",0.186
9,0.6,"layer1_pool2x2_gaussian5",0.126
9,0.8,"layer1_pool2x2_gaussian5",0.102
9,1,"layer1_pool2x2_gaussian5",0.07
10,0,"layer1_pool2x2_gaussian5",0.236
10,0.2,"layer1_pool2x2_gaussian5",0.186
10,0.4,"layer1_pool2x2_gaussian5",0.154
10,0.6,"layer1_pool2x2_gaussian5",0.162
10,0.8,"layer1_pool2x2_gaussian5",0.11
10,1,"layer1_pool2x2_gaussian5",0.064
