"outer_iter","noise_sigma","method","reject_rate"
1,0,"layer2_gaussian5",0.942
1,0.2,"layer2_gaussian5",0.79
1,0.4,"layer2_gaussian5",0.286
1,0.6,"layer2_gaussian5",0.124
1,0.8,"layer2_gaussian5",0.074
1,1,"layer2_gaussian5",0.07
2,0,"layer2_gaussian5",0.932
2,0.2,"layer2_gaussian5",0.778
2,0.4,"layer2_gaussian5",0.342
2,0.6,"layer2_gaussian5",0.108
2,0.8,"layer2_gaussian5",0.062
2,1,"layer2_gaussian5",0.062
3,0,"layer2_gaussian5",0.946
3,0.2,"layer2_gaussian5",0.73
3,0.4,"layer2_gaussian5",0.352
3,0.6,"layer2_gaussian5",0.142
3,0.8,"layer2_gaussian5",0.07
3,1,"layer2_gaussian5",0.08
4,0,"layer2_gaussian5",0.912
4,0.2,"layer2_gaussian5",0.784
4,0.4,"layer2_gaussian5",0.344
4,0.6,"layer2_gaussian5",0.088
4,0.8,"layer2_gaussian5",0.076
4,1,"layer2_gaussian5",0.066
5,0,"layer2_gaussian5",0.928
5,0.2,"layer2_gaussian5",0.76
5,0.4,"layer2_gaussian5",0.332
5,0.6,"layer2_gaussian5",0.15
5,0.8,"layer2_gaussian5",0.092
5,1,"layer2_gaussian5",0.058
6,0,"layer2_gaussian5",0.938
6,0.2,"layer2_gaussian5",0.766
6,0.4,"layer2_gaussian5",0.354
6,0.6,"layer2_gaussian5",0.098
6,0.8,"layer2_gaussian5",0.064
6,1,"layer2_gaussian5",0.084
7,0,"layer2_gaussian5",0.92
7,0.2,"layer2_gaussian5",0.736
7,0.4,"layer2_gaussian5",0.358
7,0.6,"layer2_gaussian5",0.132
7,0.8,"layer2_gaussian5",0.07
7,1,"layer2_gaussian5",0.052
8,0,"layer2_gaussian5",0.93
8,0.2,"layer2_gaussian5",0.774
8,0.4,"layer2_gaussian5",0.348
8,0.6,"layer2_gaussian5",0.128
8,0.8,"layer2_gaussian5",0.106
8,1,"layer2_gaussian5",0.06
9,0,"layer2_gaussian5",0.95
9,0.2,"layer2_gaussian5",0.798
9,0.4,"layer2_gaussian5",0.336
9,0.6,"layer2_gaussian5",0.112
9,0.8,"layer2_gaussian5",0.084
9,1,"layer2_gaussian5",0.056
10,0,"layer2_gaussian5",0.91
10,0.2,"layer2_gaussian5",0.768
10,0.4,"layer2_gaussian5",0.362
10,0.6,"layer2_gaussian5",0.084
10,0.8,"layer2_gaussian5",0.098
10,1,"layer2_gaussian5",0.078
