"outer_iter","noise_sigma","method","reject_rate","source_dir"
1,0,"raw_pixel_gaussian5",0.938,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.2,"raw_pixel_gaussian5",0.906,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.2,"final_embedding_gaussian5",0.996,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.4,"raw_pixel_gaussian5",0.808,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.4,"final_embedding_gaussian5",0.706,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.6,"raw_pixel_gaussian5",0.69,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.6,"final_embedding_gaussian5",0.202,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.8,"raw_pixel_gaussian5",0.404,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0.8,"final_embedding_gaussian5",0.124,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,1,"raw_pixel_gaussian5",0.196,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,1,"final_embedding_gaussian5",0.062,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0,"raw_pixel_gaussian5",0.912,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.2,"raw_pixel_gaussian5",0.9,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.2,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.4,"raw_pixel_gaussian5",0.828,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.4,"final_embedding_gaussian5",0.724,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.6,"raw_pixel_gaussian5",0.646,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.6,"final_embedding_gaussian5",0.148,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.8,"raw_pixel_gaussian5",0.42,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,0.8,"final_embedding_gaussian5",0.084,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,1,"raw_pixel_gaussian5",0.216,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
2,1,"final_embedding_gaussian5",0.076,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0,"raw_pixel_gaussian5",0.924,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.2,"raw_pixel_gaussian5",0.854,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.2,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.4,"raw_pixel_gaussian5",0.816,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.4,"final_embedding_gaussian5",0.82,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.6,"raw_pixel_gaussian5",0.66,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.6,"final_embedding_gaussian5",0.216,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.8,"raw_pixel_gaussian5",0.364,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,0.8,"final_embedding_gaussian5",0.098,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,1,"raw_pixel_gaussian5",0.14,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
3,1,"final_embedding_gaussian5",0.078,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0,"raw_pixel_gaussian5",0.92,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.2,"raw_pixel_gaussian5",0.9,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.2,"final_embedding_gaussian5",0.998,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.4,"raw_pixel_gaussian5",0.846,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.4,"final_embedding_gaussian5",0.758,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.6,"raw_pixel_gaussian5",0.618,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.6,"final_embedding_gaussian5",0.16,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.8,"raw_pixel_gaussian5",0.362,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,0.8,"final_embedding_gaussian5",0.112,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,1,"raw_pixel_gaussian5",0.202,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
4,1,"final_embedding_gaussian5",0.044,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0,"raw_pixel_gaussian5",0.916,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.2,"raw_pixel_gaussian5",0.87,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.2,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.4,"raw_pixel_gaussian5",0.816,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.4,"final_embedding_gaussian5",0.776,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.6,"raw_pixel_gaussian5",0.642,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.6,"final_embedding_gaussian5",0.216,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.8,"raw_pixel_gaussian5",0.406,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,0.8,"final_embedding_gaussian5",0.112,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,1,"raw_pixel_gaussian5",0.164,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
5,1,"final_embedding_gaussian5",0.056,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0,"raw_pixel_gaussian5",0.926,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.2,"raw_pixel_gaussian5",0.896,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.2,"final_embedding_gaussian5",0.998,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.4,"raw_pixel_gaussian5",0.814,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.4,"final_embedding_gaussian5",0.776,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.6,"raw_pixel_gaussian5",0.662,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.6,"final_embedding_gaussian5",0.166,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.8,"raw_pixel_gaussian5",0.358,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,0.8,"final_embedding_gaussian5",0.09,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,1,"raw_pixel_gaussian5",0.186,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
6,1,"final_embedding_gaussian5",0.074,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0,"raw_pixel_gaussian5",0.92,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.2,"raw_pixel_gaussian5",0.872,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.2,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.4,"raw_pixel_gaussian5",0.818,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.4,"final_embedding_gaussian5",0.744,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.6,"raw_pixel_gaussian5",0.686,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.6,"final_embedding_gaussian5",0.198,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.8,"raw_pixel_gaussian5",0.346,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,0.8,"final_embedding_gaussian5",0.082,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,1,"raw_pixel_gaussian5",0.166,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
7,1,"final_embedding_gaussian5",0.086,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0,"raw_pixel_gaussian5",0.92,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0.2,"raw_pixel_gaussian5",0.884,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
