"method","method_label","noise_sigma","power_mean","power_se","n_rep"
"raw_pixel_gaussian5","Raw Pixel Gaussian-5 (784-d)",0,0.9236,0.00383898134637011,10
"raw_pixel_gaussian5","Raw Pixel Gaussian-5 (784-d)",0.2,0.8886,0.0056019837756122,10
"raw_pixel_gaussian5","Raw Pixel Gaussian-5 (784-d)",0.4,0.8224,0.00438988736884115,10
"raw_pixel_gaussian5","Raw Pixel Gaussian-5 (784-d)",0.6,0.6602,0.00728133076969985,10
"raw_pixel_gaussian5","Raw Pixel Gaussian-5 (784-d)",0.8,0.3862,0.00886165271768697,10
"raw_pixel_gaussian5","Raw Pixel Gaussian-5 (784-d)",1,0.1866,0.00916054340940293,10
"layer1_gaussian5","Layer1 GAP Gaussian-5 (32-d)",0,0.1366,0.00538351392885931,10
"layer1_gaussian5","Layer1 GAP Gaussian-5 (32-d)",0.2,0.1156,0.00498709445580401,10
"layer1_gaussian5","Layer1 GAP Gaussian-5 (32-d)",0.4,0.075,0.00330991775661504,10
"layer1_gaussian5","Layer1 GAP Gaussian-5 (32-d)",0.6,0.0652,0.00397994974842648,10
"layer1_gaussian5","Layer1 GAP Gaussian-5 (32-d)",0.8,0.069,0.00398050806360751,10
"layer1_gaussian5","Layer1 GAP Gaussian-5 (32-d)",1,0.0624,0.0056,10
"layer1_pool2x2_gaussian5","Layer1 2x2 Gaussian-5 (128-d)",0,0.2206,0.00655947152342829,10
"layer1_pool2x2_gaussian5","Layer1 2x2 Gaussian-5 (128-d)",0.2,0.1832,0.00449394654569406,10
"layer1_pool2x2_gaussian5","Layer1 2x2 Gaussian-5 (128-d)",0.4,0.1538,0.00688605676550649,10
"layer1_pool2x2_gaussian5","Layer1 2x2 Gaussian-5 (128-d)",0.6,0.115,0.00652005453283261,10
"layer1_pool2x2_gaussian5","Layer1 2x2 Gaussian-5 (128-d)",0.8,0.0966,0.00481709917320003,10
"layer1_pool2x2_gaussian5","Layer1 2x2 Gaussian-5 (128-d)",1,0.0788,0.00373809220503365,10
"layer2_gaussian5","Layer2 GAP Gaussian-5 (64-d)",0,0.9308,0.0043328204824725,10
"layer2_gaussian5","Layer2 GAP Gaussian-5 (64-d)",0.2,0.7684,0.0069205009452592,10
"layer2_gaussian5","Layer2 GAP Gaussian-5 (64-d)",0.4,0.3414,0.0068381283989115,10
"layer2_gaussian5","Layer2 GAP Gaussian-5 (64-d)",0.6,0.1166,0.0070745239337279,10
"layer2_gaussian5","Layer2 GAP Gaussian-5 (64-d)",0.8,0.0796,0.00470271789027957,10
"layer2_gaussian5","Layer2 GAP Gaussian-5 (64-d)",1,0.0666,0.00347754702819866,10
"final_embedding_gaussian5","Final FC Gaussian-5 (128-d)",0,1,0,10
"final_embedding_gaussian5","Final FC Gaussian-5 (128-d)",0.2,0.9992,0.000442216638714054,10
"final_embedding_gaussian5","Final FC Gaussian-5 (128-d)",0.4,0.763,0.0103462285130595,10
"final_embedding_gaussian5","Final FC Gaussian-5 (128-d)",0.6,0.1954,0.0103195607141648,10
"final_embedding_gaussian5","Final FC Gaussian-5 (128-d)",0.8,0.103,0.00503543002687512,10
"final_embedding_gaussian5","Final FC Gaussian-5 (128-d)",1,0.0734,0.00636692844138975,10
"multilayer_single_gaussian","Multilayer Single Gaussian (3 comps)",0,1,0,10
"multilayer_single_gaussian","Multilayer Single Gaussian (3 comps)",0.2,1,0,10
"multilayer_single_gaussian","Multilayer Single Gaussian (3 comps)",0.4,0.9306,0.00578926209076385,10
"multilayer_single_gaussian","Multilayer Single Gaussian (3 comps)",0.6,0.3492,0.0144812522478778,10
"multilayer_single_gaussian","Multilayer Single Gaussian (3 comps)",0.8,0.1416,0.011074695882456,10
"multilayer_single_gaussian","Multilayer Single Gaussian (3 comps)",1,0.088,0.00667998669326685,10
"multilayer_gaussian15","Multilayer Gaussian-15 (15 comps)",0,1,0,10
"multilayer_gaussian15","Multilayer Gaussian-15 (15 comps)",0.2,1,0,10
"multilayer_gaussian15","Multilayer Gaussian-15 (15 comps)",0.4,0.8758,0.00665632531256299,10
"multilayer_gaussian15","Multilayer Gaussian-15 (15 comps)",0.6,0.2852,0.015316512512826,10
"multilayer_gaussian15","Multilayer Gaussian-15 (15 comps)",0.8,0.1416,0.00602070501593367,10
"multilayer_gaussian15","Multilayer Gaussian-15 (15 comps)",1,0.096,0.0058878405775519,10
