"outer_iter","noise_sigma","method","reject_rate"
1,0,"multilayer_single_gaussian",1
1,0.2,"multilayer_single_gaussian",1
1,0.4,"multilayer_single_gaussian",0.9
1,0.6,"multilayer_single_gaussian",0.348
1,0.8,"multilayer_single_gaussian",0.15
1,1,"multilayer_single_gaussian",0.086
2,0,"multilayer_single_gaussian",1
2,0.2,"multilayer_single_gaussian",1
2,0.4,"multilayer_single_gaussian",0.91
2,0.6,"multilayer_single_gaussian",0.314
2,0.8,"multilayer_single_gaussian",0.092
2,1,"multilayer_single_gaussian",0.08
3,0,"multilayer_single_gaussian",1
3,0.2,"multilayer_single_gaussian",1
3,0.4,"multilayer_single_gaussian",0.948
3,0.6,"multilayer_single_gaussian",0.366
3,0.8,"multilayer_single_gaussian",0.088
3,1,"multilayer_single_gaussian",0.086
4,0,"multilayer_single_gaussian",1
4,0.2,"multilayer_single_gaussian",1
4,0.4,"multilayer_single_gaussian",0.932
4,0.6,"multilayer_single_gaussian",0.278
4,0.8,"multilayer_single_gaussian",0.146
4,1,"multilayer_single_gaussian",0.062
5,0,"multilayer_single_gaussian",1
5,0.2,"multilayer_single_gaussian",1
5,0.4,"multilayer_single_gaussian",0.956
5,0.6,"multilayer_single_gaussian",0.366
5,0.8,"multilayer_single_gaussian",0.144
5,1,"multilayer_single_gaussian",0.072
6,0,"multilayer_single_gaussian",1
6,0.2,"multilayer_single_gaussian",1
6,0.4,"multilayer_single_gaussian",0.94
6,0.6,"multilayer_single_gaussian",0.358
6,0.8,"multilayer_single_gaussian",0.148
6,1,"multilayer_single_gaussian",0.128
7,0,"multilayer_single_gaussian",1
7,0.2,"multilayer_single_gaussian",1
7,0.4,"multilayer_single_gaussian",0.916
7,0.6,"multilayer_single_gaussian",0.31
7,0.8,"multilayer_single_gaussian",0.118
7,1,"multilayer_single_gaussian",0.1
8,0,"multilayer_single_gaussian",1
8,0.2,"multilayer_single_gaussian",1
8,0.4,"multilayer_single_gaussian",0.946
8,0.6,"multilayer_single_gaussian",0.38
8,0.8,"multilayer_single_gaussian",0.206
8,1,"multilayer_single_gaussian",0.112
9,0,"multilayer_single_gaussian",1
9,0.2,"multilayer_single_gaussian",1
9,0.4,"multilayer_single_gaussian",0.938
9,0.6,"multilayer_single_gaussian",0.444
9,0.8,"multilayer_single_gaussian",0.166
9,1,"multilayer_single_gaussian",0.092
10,0,"multilayer_single_gaussian",1
10,0.2,"multilayer_single_gaussian",1
10,0.4,"multilayer_single_gaussian",0.92
10,0.6,"multilayer_single_gaussian",0.328
10,0.8,"multilayer_single_gaussian",0.158
10,1,"multilayer_single_gaussian",0.062
