"scenario","outer_iter","noise_sigma","method","reject_rate"
"set123_vs_set123",1,0,"multilayer_single_gaussian",0.052
"set123_vs_set123",1,0.2,"multilayer_single_gaussian",0.068
"set123_vs_set123",1,0.4,"multilayer_single_gaussian",0.044
"set123_vs_set123",1,0.6,"multilayer_single_gaussian",0.054
"set123_vs_set123",1,0.8,"multilayer_single_gaussian",0.028
"set123_vs_set123",1,1,"multilayer_single_gaussian",0.05
"set123_vs_set123",2,0,"multilayer_single_gaussian",0.038
"set123_vs_set123",2,0.2,"multilayer_single_gaussian",0.046
"set123_vs_set123",2,0.4,"multilayer_single_gaussian",0.038
"set123_vs_set123",2,0.6,"multilayer_single_gaussian",0.06
"set123_vs_set123",2,0.8,"multilayer_single_gaussian",0.054
"set123_vs_set123",2,1,"multilayer_single_gaussian",0.046
"set123_vs_set123",3,0,"multilayer_single_gaussian",0.056
"set123_vs_set123",3,0.2,"multilayer_single_gaussian",0.056
"set123_vs_set123",3,0.4,"multilayer_single_gaussian",0.048
"set123_vs_set123",3,0.6,"multilayer_single_gaussian",0.04
"set123_vs_set123",3,0.8,"multilayer_single_gaussian",0.054
"set123_vs_set123",3,1,"multilayer_single_gaussian",0.042
"set123_vs_set123",4,0,"multilayer_single_gaussian",0.068
"set123_vs_set123",4,0.2,"multilayer_single_gaussian",0.052
"set123_vs_set123",4,0.4,"multilayer_single_gaussian",0.054
"set123_vs_set123",4,0.6,"multilayer_single_gaussian",0.046
"set123_vs_set123",4,0.8,"multilayer_single_gaussian",0.07
"set123_vs_set123",4,1,"multilayer_single_gaussian",0.054
"set123_vs_set123",5,0,"multilayer_single_gaussian",0.052
"set123_vs_set123",5,0.2,"multilayer_single_gaussian",0.046
"set123_vs_set123",5,0.4,"multilayer_single_gaussian",0.058
"set123_vs_set123",5,0.6,"multilayer_single_gaussian",0.064
"set123_vs_set123",5,0.8,"multilayer_single_gaussian",0.046
"set123_vs_set123",5,1,"multilayer_single_gaussian",0.042
"set123_vs_set123",6,0,"multilayer_single_gaussian",0.044
"set123_vs_set123",6,0.2,"multilayer_single_gaussian",0.058
"set123_vs_set123",6,0.4,"multilayer_single_gaussian",0.048
"set123_vs_set123",6,0.6,"multilayer_single_gaussian",0.036
"set123_vs_set123",6,0.8,"multilayer_single_gaussian",0.052
