scenario,sample_size,method,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,mean_stat,mean_cutoff,mean_cond_sigma_reg
mix635_vs_mix835,30,raw_pixel_gaussian5,10,500,5000,0.2352,12.366556496227414,12.029166666514055,45900.410423004374
mix635_vs_mix835,30,cnn_final_fc128_gaussian5,10,500,5000,0.1158,6.911504814531904,13.592600781498092,38073.65014629114
mix635_vs_mix835,30,cnn_multilayer_single_gaussian,10,500,5000,0.2062,8.395577725920312,11.022770901392002,138.157539184216
mix635_vs_mix835,30,cnn_multilayer_gaussian15,10,500,5000,0.2352,28.755708543684914,35.08337990538923,125095.46716530688
mix635_vs_mix835,60,raw_pixel_gaussian5,10,500,5000,0.3606,17.708064618549244,12.330234901292412,43763.21836649021
mix635_vs_mix835,60,cnn_final_fc128_gaussian5,10,500,5000,0.366,13.747147359224874,13.870198391995164,34287.593227424724
mix635_vs_mix835,60,cnn_multilayer_single_gaussian,10,500,5000,0.418,17.483588614248927,10.928152699857788,122.20173482316245
mix635_vs_mix835,60,cnn_multilayer_gaussian15,10,500,5000,0.4696,45.37513301747935,35.01187014876914,119564.17895840183
mix635_vs_mix835,90,raw_pixel_gaussian5,10,500,5000,0.4966,26.214616919212897,12.417903879580024,42643.4685133558
mix635_vs_mix835,90,cnn_final_fc128_gaussian5,10,500,5000,0.774,27.517494184994813,13.890949084275032,32879.365285002634
mix635_vs_mix835,90,cnn_multilayer_single_gaussian,10,500,5000,0.6254,31.64313169055258,10.908987795877552,116.92594480298501
mix635_vs_mix835,90,cnn_multilayer_gaussian15,10,500,5000,0.796,74.51982221659543,34.955598878515744,117405.49837452994
mix635_vs_mix835,120,raw_pixel_gaussian5,10,500,5000,0.6356,37.8437204812649,12.493001760707408,42012.44323964465
mix635_vs_mix835,120,cnn_final_fc128_gaussian5,10,500,5000,0.9628,46.06242990511915,13.962083514401456,32233.49577880282
mix635_vs_mix835,120,cnn_multilayer_single_gaussian,10,500,5000,0.7966,49.86632915721209,10.913920022122714,114.55091622052328
mix635_vs_mix835,120,cnn_multilayer_gaussian15,10,500,5000,0.9588,111.18015584411151,34.79547875605287,116121.08208407708
mix635_vs_mix835,150,raw_pixel_gaussian5,10,500,5000,0.734,49.30213504592926,12.558354751707974,41634.1896508555
mix635_vs_mix835,150,cnn_final_fc128_gaussian5,10,500,5000,0.9986,70.72008933856185,13.966072734886627,31774.72108385806
mix635_vs_mix835,150,cnn_multilayer_single_gaussian,10,500,5000,0.9012,70.16265527365748,10.869629900296074,113.11856717627366
mix635_vs_mix835,150,cnn_multilayer_gaussian15,10,500,5000,0.9966,153.95109861753727,34.833640175802934,115336.47658952315
