"outer_iter","noise_sigma","method","reject_rate"
1,0,"layer1_gaussian5",0.164
1,0.2,"layer1_gaussian5",0.13
1,0.4,"layer1_gaussian5",0.082
1,0.6,"layer1_gaussian5",0.062
1,0.8,"layer1_gaussian5",0.08
1,1,"layer1_gaussian5",0.058
2,0,"layer1_gaussian5",0.126
2,0.2,"layer1_gaussian5",0.116
2,0.4,"layer1_gaussian5",0.07
2,0.6,"layer1_gaussian5",0.05
2,0.8,"layer1_gaussian5",0.044
2,1,"layer1_gaussian5",0.056
3,0,"layer1_gaussian5",0.124
3,0.2,"layer1_gaussian5",0.116
3,0.4,"layer1_gaussian5",0.074
3,0.6,"layer1_gaussian5",0.054
3,0.8,"layer1_gaussian5",0.08
3,1,"layer1_gaussian5",0.092
4,0,"layer1_gaussian5",0.122
4,0.2,"layer1_gaussian5",0.116
4,0.4,"layer1_gaussian5",0.06
4,0.6,"layer1_gaussian5",0.06
4,0.8,"layer1_gaussian5",0.066
4,1,"layer1_gaussian5",0.064
5,0,"layer1_gaussian5",0.142
5,0.2,"layer1_gaussian5",0.132
5,0.4,"layer1_gaussian5",0.072
5,0.6,"layer1_gaussian5",0.068
5,0.8,"layer1_gaussian5",0.08
5,1,"layer1_gaussian5",0.036
6,0,"layer1_gaussian5",0.13
6,0.2,"layer1_gaussian5",0.13
6,0.4,"layer1_gaussian5",0.068
6,0.6,"layer1_gaussian5",0.052
6,0.8,"layer1_gaussian5",0.066
6,1,"layer1_gaussian5",0.058
7,0,"layer1_gaussian5",0.136
7,0.2,"layer1_gaussian5",0.096
7,0.4,"layer1_gaussian5",0.088
7,0.6,"layer1_gaussian5",0.088
7,0.8,"layer1_gaussian5",0.052
7,1,"layer1_gaussian5",0.058
8,0,"layer1_gaussian5",0.116
8,0.2,"layer1_gaussian5",0.116
8,0.4,"layer1_gaussian5",0.088
8,0.6,"layer1_gaussian5",0.082
8,0.8,"layer1_gaussian5",0.07
8,1,"layer1_gaussian5",0.092
9,0,"layer1_gaussian5",0.166
9,0.2,"layer1_gaussian5",0.122
9,0.4,"layer1_gaussian5",0.086
9,0.6,"layer1_gaussian5",0.072
9,0.8,"layer1_gaussian5",0.072
9,1,"layer1_gaussian5",0.064
10,0,"layer1_gaussian5",0.14
10,0.2,"layer1_gaussian5",0.082
10,0.4,"layer1_gaussian5",0.062
10,0.6,"layer1_gaussian5",0.064
10,0.8,"layer1_gaussian5",0.08
10,1,"layer1_gaussian5",0.046
