"outer_iter","noise_sigma","method","reject_rate"
1,0,"multilayer_gaussian15",1
1,0.2,"multilayer_gaussian15",1
1,0.4,"multilayer_gaussian15",0.848
1,0.6,"multilayer_gaussian15",0.282
1,0.8,"multilayer_gaussian15",0.162
1,1,"multilayer_gaussian15",0.078
2,0,"multilayer_gaussian15",1
2,0.2,"multilayer_gaussian15",1
2,0.4,"multilayer_gaussian15",0.868
2,0.6,"multilayer_gaussian15",0.23
2,0.8,"multilayer_gaussian15",0.118
2,1,"multilayer_gaussian15",0.086
3,0,"multilayer_gaussian15",1
3,0.2,"multilayer_gaussian15",1
3,0.4,"multilayer_gaussian15",0.906
3,0.6,"multilayer_gaussian15",0.27
3,0.8,"multilayer_gaussian15",0.13
3,1,"multilayer_gaussian15",0.106
4,0,"multilayer_gaussian15",1
4,0.2,"multilayer_gaussian15",1
4,0.4,"multilayer_gaussian15",0.862
4,0.6,"multilayer_gaussian15",0.22
4,0.8,"multilayer_gaussian15",0.144
4,1,"multilayer_gaussian15",0.072
5,0,"multilayer_gaussian15",1
5,0.2,"multilayer_gaussian15",1
5,0.4,"multilayer_gaussian15",0.912
5,0.6,"multilayer_gaussian15",0.32
5,0.8,"multilayer_gaussian15",0.136
5,1,"multilayer_gaussian15",0.098
6,0,"multilayer_gaussian15",1
6,0.2,"multilayer_gaussian15",1
6,0.4,"multilayer_gaussian15",0.878
6,0.6,"multilayer_gaussian15",0.256
6,0.8,"multilayer_gaussian15",0.142
6,1,"multilayer_gaussian15",0.108
7,0,"multilayer_gaussian15",1
7,0.2,"multilayer_gaussian15",1
7,0.4,"multilayer_gaussian15",0.878
7,0.6,"multilayer_gaussian15",0.31
7,0.8,"multilayer_gaussian15",0.11
7,1,"multilayer_gaussian15",0.1
8,0,"multilayer_gaussian15",1
8,0.2,"multilayer_gaussian15",1
8,0.4,"multilayer_gaussian15",0.868
8,0.6,"multilayer_gaussian15",0.318
8,0.8,"multilayer_gaussian15",0.162
8,1,"multilayer_gaussian15",0.128
9,0,"multilayer_gaussian15",1
9,0.2,"multilayer_gaussian15",1
9,0.4,"multilayer_gaussian15",0.886
9,0.6,"multilayer_gaussian15",0.382
9,0.8,"multilayer_gaussian15",0.144
9,1,"multilayer_gaussian15",0.112
10,0,"multilayer_gaussian15",1
10,0.2,"multilayer_gaussian15",1
10,0.4,"multilayer_gaussian15",0.852
10,0.6,"multilayer_gaussian15",0.264
10,0.8,"multilayer_gaussian15",0.168
10,1,"multilayer_gaussian15",0.072
