"outer_iter","noise_sigma","method","reject_rate"
1,0,"raw_pixel_gaussian5",0.046
1,0,"layer1_gaussian5",0.054
1,0,"layer2_gaussian5",0.036
1,0,"final_embedding_gaussian5",0.064
1,0,"multilayer_single_gaussian",0.056
1,0,"multilayer_gaussian15",0.05
1,0.4,"raw_pixel_gaussian5",0.032
1,0.4,"layer1_gaussian5",0.054
1,0.4,"layer2_gaussian5",0.05
1,0.4,"final_embedding_gaussian5",0.06
1,0.4,"multilayer_single_gaussian",0.046
1,0.4,"multilayer_gaussian15",0.05
1,0.8,"raw_pixel_gaussian5",0.01
1,0.8,"layer1_gaussian5",0.064
1,0.8,"layer2_gaussian5",0.066
1,0.8,"final_embedding_gaussian5",0.062
1,0.8,"multilayer_single_gaussian",0.046
1,0.8,"multilayer_gaussian15",0.078
2,0,"raw_pixel_gaussian5",0.04
2,0,"layer1_gaussian5",0.066
2,0,"layer2_gaussian5",0.06
2,0,"final_embedding_gaussian5",0.056
2,0,"multilayer_single_gaussian",0.068
2,0,"multilayer_gaussian15",0.072
2,0.4,"raw_pixel_gaussian5",0.032
2,0.4,"layer1_gaussian5",0.038
2,0.4,"layer2_gaussian5",0.05
2,0.4,"final_embedding_gaussian5",0.052
2,0.4,"multilayer_single_gaussian",0.052
2,0.4,"multilayer_gaussian15",0.048
2,0.8,"raw_pixel_gaussian5",0.02
2,0.8,"layer1_gaussian5",0.048
2,0.8,"layer2_gaussian5",0.05
2,0.8,"final_embedding_gaussian5",0.062
2,0.8,"multilayer_single_gaussian",0.064
2,0.8,"multilayer_gaussian15",0.056
3,0,"raw_pixel_gaussian5",0.056
3,0,"layer1_gaussian5",0.048
3,0,"layer2_gaussian5",0.048
3,0,"final_embedding_gaussian5",0.06
3,0,"multilayer_single_gaussian",0.052
3,0,"multilayer_gaussian15",0.05
3,0.4,"raw_pixel_gaussian5",0.034
3,0.4,"layer1_gaussian5",0.056
3,0.4,"layer2_gaussian5",0.042
3,0.4,"final_embedding_gaussian5",0.042
3,0.4,"multilayer_single_gaussian",0.036
3,0.4,"multilayer_gaussian15",0.048
3,0.8,"raw_pixel_gaussian5",0.016
3,0.8,"layer1_gaussian5",0.054
3,0.8,"layer2_gaussian5",0.048
3,0.8,"final_embedding_gaussian5",0.058
3,0.8,"multilayer_single_gaussian",0.052
3,0.8,"multilayer_gaussian15",0.064
4,0,"raw_pixel_gaussian5",0.024
4,0,"layer1_gaussian5",0.042
4,0,"layer2_gaussian5",0.036
4,0,"final_embedding_gaussian5",0.04
4,0,"multilayer_single_gaussian",0.056
4,0,"multilayer_gaussian15",0.048
4,0.4,"raw_pixel_gaussian5",0.03
4,0.4,"layer1_gaussian5",0.054
4,0.4,"layer2_gaussian5",0.042
4,0.4,"final_embedding_gaussian5",0.032
4,0.4,"multilayer_single_gaussian",0.034
4,0.4,"multilayer_gaussian15",0.046
4,0.8,"raw_pixel_gaussian5",0.024
4,0.8,"layer1_gaussian5",0.036
4,0.8,"layer2_gaussian5",0.058
4,0.8,"final_embedding_gaussian5",0.048
4,0.8,"multilayer_single_gaussian",0.044
4,0.8,"multilayer_gaussian15",0.062
5,0,"raw_pixel_gaussian5",0.048
5,0,"layer1_gaussian5",0.056
5,0,"layer2_gaussian5",0.05
5,0,"final_embedding_gaussian5",0.058
5,0,"multilayer_single_gaussian",0.05
5,0,"multilayer_gaussian15",0.052
5,0.4,"raw_pixel_gaussian5",0.036
5,0.4,"layer1_gaussian5",0.048
5,0.4,"layer2_gaussian5",0.076
5,0.4,"final_embedding_gaussian5",0.076
5,0.4,"multilayer_single_gaussian",0.06
5,0.4,"multilayer_gaussian15",0.058
5,0.8,"raw_pixel_gaussian5",0.014
5,0.8,"layer1_gaussian5",0.068
5,0.8,"layer2_gaussian5",0.05
5,0.8,"final_embedding_gaussian5",0.054
5,0.8,"multilayer_single_gaussian",0.058
5,0.8,"multilayer_gaussian15",0.062
6,0,"raw_pixel_gaussian5",0.032
6,0,"layer1_gaussian5",0.062
6,0,"layer2_gaussian5",0.05
6,0,"final_embedding_gaussian5",0.038
6,0,"multilayer_single_gaussian",0.048
6,0,"multilayer_gaussian15",0.056
6,0.4,"raw_pixel_gaussian5",0.022
6,0.4,"layer1_gaussian5",0.04
6,0.4,"layer2_gaussian5",0.032
6,0.4,"final_embedding_gaussian5",0.044
6,0.4,"multilayer_single_gaussian",0.04
6,0.4,"multilayer_gaussian15",0.04
6,0.8,"raw_pixel_gaussian5",0.014
6,0.8,"layer1_gaussian5",0.042
6,0.8,"layer2_gaussian5",0.072
6,0.8,"final_embedding_gaussian5",0.068
6,0.8,"multilayer_single_gaussian",0.056
6,0.8,"multilayer_gaussian15",0.068
7,0,"raw_pixel_gaussian5",0.026
7,0,"layer1_gaussian5",0.04
7,0,"layer2_gaussian5",0.032
7,0,"final_embedding_gaussian5",0.032
7,0,"multilayer_single_gaussian",0.042
7,0,"multilayer_gaussian15",0.052
7,0.4,"raw_pixel_gaussian5",0.032
7,0.4,"layer1_gaussian5",0.042
7,0.4,"layer2_gaussian5",0.036
7,0.4,"final_embedding_gaussian5",0.06
7,0.4,"multilayer_single_gaussian",0.044
7,0.4,"multilayer_gaussian15",0.05
7,0.8,"raw_pixel_gaussian5",0.022
7,0.8,"layer1_gaussian5",0.042
7,0.8,"layer2_gaussian5",0.038
7,0.8,"final_embedding_gaussian5",0.042
7,0.8,"multilayer_single_gaussian",0.05
7,0.8,"multilayer_gaussian15",0.058
8,0,"raw_pixel_gaussian5",0.024
8,0,"layer1_gaussian5",0.042
8,0,"layer2_gaussian5",0.05
8,0,"final_embedding_gaussian5",0.052
8,0,"multilayer_single_gaussian",0.044
8,0,"multilayer_gaussian15",0.054
8,0.4,"raw_pixel_gaussian5",0.022
8,0.4,"layer1_gaussian5",0.038
8,0.4,"layer2_gaussian5",0.056
8,0.4,"final_embedding_gaussian5",0.062
8,0.4,"multilayer_single_gaussian",0.05
8,0.4,"multilayer_gaussian15",0.054
8,0.8,"raw_pixel_gaussian5",0.014
8,0.8,"layer1_gaussian5",0.064
8,0.8,"layer2_gaussian5",0.046
8,0.8,"final_embedding_gaussian5",0.052
8,0.8,"multilayer_single_gaussian",0.07
8,0.8,"multilayer_gaussian15",0.07
9,0,"raw_pixel_gaussian5",0.03
9,0,"layer1_gaussian5",0.042
9,0,"layer2_gaussian5",0.042
9,0,"final_embedding_gaussian5",0.04
9,0,"multilayer_single_gaussian",0.042
9,0,"multilayer_gaussian15",0.042
9,0.4,"raw_pixel_gaussian5",0.022
9,0.4,"layer1_gaussian5",0.046
9,0.4,"layer2_gaussian5",0.034
9,0.4,"final_embedding_gaussian5",0.042
9,0.4,"multilayer_single_gaussian",0.046
9,0.4,"multilayer_gaussian15",0.052
9,0.8,"raw_pixel_gaussian5",0.014
9,0.8,"layer1_gaussian5",0.048
9,0.8,"layer2_gaussian5",0.06
9,0.8,"final_embedding_gaussian5",0.05
9,0.8,"multilayer_single_gaussian",0.05
9,0.8,"multilayer_gaussian15",0.064
10,0,"raw_pixel_gaussian5",0.028
10,0,"layer1_gaussian5",0.058
10,0,"layer2_gaussian5",0.052
10,0,"final_embedding_gaussian5",0.054
10,0,"multilayer_single_gaussian",0.058
10,0,"multilayer_gaussian15",0.068
10,0.4,"raw_pixel_gaussian5",0.032
10,0.4,"layer1_gaussian5",0.06
10,0.4,"layer2_gaussian5",0.064
10,0.4,"final_embedding_gaussian5",0.048
10,0.4,"multilayer_single_gaussian",0.062
10,0.4,"multilayer_gaussian15",0.07
10,0.8,"raw_pixel_gaussian5",0.014
10,0.8,"layer1_gaussian5",0.036
10,0.8,"layer2_gaussian5",0.038
10,0.8,"final_embedding_gaussian5",0.038
10,0.8,"multilayer_single_gaussian",0.042
10,0.8,"multilayer_gaussian15",0.036
