[2026-05-27 09:43:01] center-shift MMMD config: {"B_boot": 500, "alpha": 0.05, "checkpoint_path": "/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/shared_model/models/pathmnist_cnn_checkpoint.pt", "dataset": "PathMNIST-28", "inner_repetitions": 500, "labels": [6, 8], "methods": ["raw_pixel_gaussian5", "cnn_final_fc128_gaussian5", "cnn_multilayer_single_gaussian", "cnn_multilayer_gaussian15"], "n_grid": [20, 30, 50, 80, 100], "n_tests_per_cell_actual": 5000, "outer_repetitions": 10, "seed": 20260527, "settings": ["H1_source_vs_external"], "split_path": "/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/configs/center_shift_split_seed2026_holdout20.npz"}
[2026-05-27 09:43:04] extracting frozen CNN embeddings for source_holdout_pool
[2026-05-27 09:43:06] source_holdout embedding extraction complete in 1.82s
[2026-05-27 09:43:06] extracting frozen CNN embeddings for external_pool
[2026-05-27 09:43:06] external embedding extraction complete in 0.33s
[2026-05-27 09:43:06] completed label/setting/n/outer keys at start: 0
[2026-05-27 09:43:06] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=1/500
[2026-05-27 09:43:07] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=50/500
[2026-05-27 09:43:07] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=100/500
[2026-05-27 09:43:08] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=150/500
[2026-05-27 09:43:08] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=200/500
[2026-05-27 09:43:09] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=250/500
[2026-05-27 09:43:09] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=300/500
[2026-05-27 09:43:09] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=350/500
[2026-05-27 09:43:10] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=400/500
[2026-05-27 09:43:10] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=450/500
[2026-05-27 09:43:11] progress label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_iter=500/500
[2026-05-27 09:43:11] finished label=6 setting=H1_source_vs_external n=20 outer_iter=1/10 inner_repetitions=500 in 5.10s
[2026-05-27 09:43:11] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=1/500
[2026-05-27 09:43:12] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=50/500
[2026-05-27 09:43:12] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=100/500
[2026-05-27 09:43:13] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=150/500
[2026-05-27 09:43:13] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=200/500
[2026-05-27 09:43:14] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=250/500
[2026-05-27 09:43:14] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=300/500
[2026-05-27 09:43:15] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=350/500
[2026-05-27 09:43:15] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=400/500
[2026-05-27 09:43:15] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=450/500
[2026-05-27 09:43:16] progress label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_iter=500/500
[2026-05-27 09:43:16] finished label=6 setting=H1_source_vs_external n=20 outer_iter=2/10 inner_repetitions=500 in 5.03s
[2026-05-27 09:43:16] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=1/500
[2026-05-27 09:43:17] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=50/500
[2026-05-27 09:43:17] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=100/500
[2026-05-27 09:43:18] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=150/500
[2026-05-27 09:43:18] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=200/500
[2026-05-27 09:43:19] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=250/500
[2026-05-27 09:43:19] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=300/500
[2026-05-27 09:43:20] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=350/500
[2026-05-27 09:43:20] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=400/500
[2026-05-27 09:43:20] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=450/500
[2026-05-27 09:43:21] progress label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_iter=500/500
[2026-05-27 09:43:21] finished label=6 setting=H1_source_vs_external n=20 outer_iter=3/10 inner_repetitions=500 in 5.07s
[2026-05-27 09:43:21] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=1/500
[2026-05-27 09:43:22] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=50/500
[2026-05-27 09:43:22] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=100/500
[2026-05-27 09:43:23] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=150/500
[2026-05-27 09:43:23] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=200/500
[2026-05-27 09:43:24] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=250/500
[2026-05-27 09:43:24] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=300/500
[2026-05-27 09:43:25] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=350/500
[2026-05-27 09:43:25] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=400/500
[2026-05-27 09:43:26] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=450/500
[2026-05-27 09:43:26] progress label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_iter=500/500
[2026-05-27 09:43:27] finished label=6 setting=H1_source_vs_external n=20 outer_iter=4/10 inner_repetitions=500 in 5.11s
[2026-05-27 09:43:27] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=1/500
[2026-05-27 09:43:27] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=50/500
[2026-05-27 09:43:27] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=100/500
[2026-05-27 09:43:28] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=150/500
[2026-05-27 09:43:28] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=200/500
[2026-05-27 09:43:29] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=250/500
[2026-05-27 09:43:29] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=300/500
[2026-05-27 09:43:30] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=350/500
[2026-05-27 09:43:30] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=400/500
[2026-05-27 09:43:31] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=450/500
[2026-05-27 09:43:31] progress label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_iter=500/500
[2026-05-27 09:43:32] finished label=6 setting=H1_source_vs_external n=20 outer_iter=5/10 inner_repetitions=500 in 5.19s
[2026-05-27 09:43:32] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=1/500
[2026-05-27 09:43:32] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=50/500
[2026-05-27 09:43:33] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=100/500
[2026-05-27 09:43:33] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=150/500
[2026-05-27 09:43:34] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=200/500
[2026-05-27 09:43:34] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=250/500
[2026-05-27 09:43:35] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=300/500
[2026-05-27 09:43:35] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=350/500
[2026-05-27 09:43:35] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=400/500
[2026-05-27 09:43:36] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=450/500
[2026-05-27 09:43:36] progress label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_iter=500/500
[2026-05-27 09:43:37] finished label=6 setting=H1_source_vs_external n=20 outer_iter=6/10 inner_repetitions=500 in 5.16s
[2026-05-27 09:43:37] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=1/500
[2026-05-27 09:43:37] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=50/500
[2026-05-27 09:43:38] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=100/500
[2026-05-27 09:43:38] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=150/500
[2026-05-27 09:43:39] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=200/500
[2026-05-27 09:43:39] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=250/500
[2026-05-27 09:43:40] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=300/500
[2026-05-27 09:43:40] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=350/500
[2026-05-27 09:43:41] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=400/500
[2026-05-27 09:43:41] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=450/500
[2026-05-27 09:43:41] progress label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_iter=500/500
[2026-05-27 09:43:42] finished label=6 setting=H1_source_vs_external n=20 outer_iter=7/10 inner_repetitions=500 in 5.17s
[2026-05-27 09:43:42] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=1/500
[2026-05-27 09:43:43] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=50/500
[2026-05-27 09:43:43] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=100/500
[2026-05-27 09:43:43] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=150/500
[2026-05-27 09:43:44] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=200/500
[2026-05-27 09:43:44] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=250/500
[2026-05-27 09:43:45] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=300/500
[2026-05-27 09:43:45] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=350/500
[2026-05-27 09:43:46] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=400/500
[2026-05-27 09:43:46] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=450/500
[2026-05-27 09:43:47] progress label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_iter=500/500
[2026-05-27 09:43:47] finished label=6 setting=H1_source_vs_external n=20 outer_iter=8/10 inner_repetitions=500 in 5.20s
[2026-05-27 09:43:47] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=1/500
[2026-05-27 09:43:48] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=50/500
[2026-05-27 09:43:48] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=100/500
[2026-05-27 09:43:49] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=150/500
[2026-05-27 09:43:49] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=200/500
[2026-05-27 09:43:50] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=250/500
[2026-05-27 09:43:50] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=300/500
[2026-05-27 09:43:50] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=350/500
[2026-05-27 09:43:51] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=400/500
[2026-05-27 09:43:51] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=450/500
[2026-05-27 09:43:52] progress label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_iter=500/500
[2026-05-27 09:43:53] finished label=6 setting=H1_source_vs_external n=20 outer_iter=9/10 inner_repetitions=500 in 5.29s
[2026-05-27 09:43:53] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=1/500
[2026-05-27 09:43:53] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=50/500
[2026-05-27 09:43:53] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=100/500
[2026-05-27 09:43:54] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=150/500
[2026-05-27 09:43:54] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=200/500
[2026-05-27 09:43:55] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=250/500
[2026-05-27 09:43:55] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=300/500
[2026-05-27 09:43:56] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=350/500
[2026-05-27 09:43:56] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=400/500
[2026-05-27 09:43:57] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=450/500
[2026-05-27 09:43:57] progress label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_iter=500/500
[2026-05-27 09:43:58] finished label=6 setting=H1_source_vs_external n=20 outer_iter=10/10 inner_repetitions=500 in 5.25s
[2026-05-27 09:43:58] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=1/500
[2026-05-27 09:43:58] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=50/500
[2026-05-27 09:43:59] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=100/500
[2026-05-27 09:44:00] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=150/500
[2026-05-27 09:44:00] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=200/500
[2026-05-27 09:44:01] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=250/500
[2026-05-27 09:44:01] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=300/500
[2026-05-27 09:44:02] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=350/500
