train_label,train_label_name,test_label,test_label_name,representation,axis_method,repeat,train_source_n,train_external_n,test_source_n,test_external_n,auc,accuracy,effect_size
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,1,519,519,222,222,0.8049671292914536,0.7297297297297297,1.141732851858505
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,1,519,519,222,222,0.7192192192192193,0.6328828828828829,0.8124137820624238
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,2,519,519,222,222,0.8407596785975164,0.7545045045045045,1.3708159494836816
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,2,519,519,222,222,0.774003733463193,0.6891891891891891,1.0843013944604545
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,3,519,519,222,222,0.8362348835321808,0.7567567567567568,1.329935123197361
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,3,519,519,222,222,0.7594756919081244,0.6801801801801802,1.0132109370995415
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,4,519,519,222,222,0.8370870870870871,0.7477477477477478,1.3628429490851923
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,4,519,519,222,222,0.7258745231718204,0.6486486486486487,0.8936695044569114
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,5,519,519,222,222,0.7978045613180749,0.704954954954955,1.1651203398452776
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,5,519,519,222,222,0.7178597516435354,0.6463963963963963,0.8484715547891433
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,6,519,519,222,222,0.8178922165408652,0.7252252252252253,1.2274969418513997
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,6,519,519,222,222,0.7643251359467576,0.6756756756756757,1.0220134493771944
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,7,519,519,222,222,0.8419974028082137,0.7725225225225225,1.315380266538541
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,7,519,519,222,222,0.7765806346887428,0.704954954954955,1.047500396025937
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,8,519,519,222,222,0.8349565781998215,0.7680180180180181,1.3506445977417534
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,8,519,519,222,222,0.7688499310120932,0.6779279279279279,1.0387521331126182
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,9,519,519,222,222,0.8206720233747261,0.7567567567567568,1.2550124188953267
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,9,519,519,222,222,0.7630671211752292,0.6644144144144144,1.0120757772085254
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,10,519,519,222,222,0.8085585585585585,0.7319819819819819,1.2056315735932814
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,10,519,519,222,222,0.7431214998782566,0.6869369369369369,0.9097728704871071
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,11,519,519,222,222,0.7981495008522036,0.7252252252252253,1.1717169945578558
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,11,519,519,222,222,0.7195641587533479,0.6171171171171171,0.8333322928852196
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,12,519,519,222,222,0.8207328950572194,0.7387387387387387,1.2480066650399138
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,12,519,519,222,222,0.7327124421719017,0.6779279279279279,0.8891174051355646
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,13,519,519,222,222,0.8337391445499553,0.7567567567567568,1.3079987509934683
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,13,519,519,222,222,0.7429591753916078,0.6756756756756757,0.9250984025663161
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,14,519,519,222,222,0.8103441279116955,0.7364864864864865,1.2151787799934346
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,14,519,519,222,222,0.7198279360441523,0.668918918918919,0.8205729612568028
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,15,519,519,222,222,0.796039282525769,0.722972972972973,1.1339341619938115
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,15,519,519,222,222,0.7414373833292752,0.6576576576576577,0.8864227635863428
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,16,519,519,222,222,0.7907028650271893,0.7184684684684685,1.1341502480909365
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,16,519,519,222,222,0.7085058031003977,0.6418918918918919,0.7563614740752229
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,17,519,519,222,222,0.8327651976300625,0.7432432432432432,1.3316497864959642
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,17,519,519,222,222,0.7327530232935638,0.6666666666666666,0.8835756756179021
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,18,519,519,222,222,0.8349971593214837,0.7522522522522522,1.325853299763943
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,18,519,519,222,222,0.7992046100154209,0.7027027027027027,1.1971192883296058
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,19,519,519,222,222,0.8432959987014041,0.7454954954954955,1.416965019277561
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,19,519,519,222,222,0.7671252333414496,0.668918918918919,1.0564173764241984
6,normal colon mucosa,6,normal colon mucosa,color15,logistic_regression,20,519,519,222,222,0.8221532343153964,0.7364864864864865,1.301172377787369
6,normal colon mucosa,6,normal colon mucosa,color15,mean_difference,20,519,519,222,222,0.7327124421719017,0.6463963963963963,0.9156676096804551
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,1,863,863,370,370,0.7693937180423667,0.6810810810810811,1.0215942477680513
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,1,863,863,370,370,0.7277794010226443,0.6662162162162162,0.8489366432900626
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,2,863,863,370,370,0.7534623813002191,0.6756756756756757,0.9228512931168451
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,2,863,863,370,370,0.7044777209642075,0.6445945945945946,0.7594861210869382
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,3,863,863,370,370,0.7820525931336743,0.6972972972972973,1.0573207273550642
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,3,863,863,370,370,0.7639225712198685,0.7094594594594594,0.9944321242514067
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,4,863,863,370,370,0.7812490869247626,0.6959459459459459,1.000551145353048
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,4,863,863,370,370,0.7444777209642075,0.6662162162162162,0.9017501762105397
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,5,863,863,370,370,0.751745799853908,0.6486486486486487,0.9568185181350347
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,5,863,863,370,370,0.7084879474068664,0.65,0.7730361344447799
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,6,863,863,370,370,0.7703140978816655,0.6986486486486486,0.9824358858182358
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,6,863,863,370,370,0.739517896274653,0.6756756756756757,0.8771293152124222
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,7,863,863,370,370,0.7672899926953981,0.6891891891891891,0.9784367342157817
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,7,863,863,370,370,0.7362673484295106,0.6716216216216216,0.8697557341723008
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,8,863,863,370,370,0.7748502556610665,0.6986486486486486,1.0038757562100802
