result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,color_only_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,color15,10,20,200,0.195,0.195,,0.028015620642777128,0.14008938354015682,0.2499106164598432,10.44990195844548,14.675753870977978,22252.958066467712,500,0.05
power,color_only_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,color15,10,20,200,0.235,0.235,,0.029981244136960027,0.17623676149155834,0.29376323850844166,11.674224601991067,14.682936714632433,19757.464423459638,500,0.05
power,color_only_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,color15,10,20,200,0.595,0.595,,0.0347113093962184,0.5269658335834119,0.6630341664165881,24.38727036874808,14.657075150247772,17659.621838644194,500,0.05
power,color_only_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,color15,10,20,200,0.505,0.505,,0.03535357124817803,0.4357070003535711,0.574292999646429,27.620583978153356,13.520393539930188,38317.27411755537,500,0.05
power,color_only_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,color15,10,20,200,0.73,0.73,,0.03139267430468452,0.6684703583628183,0.7915296416371816,46.8982396656333,13.808712542656275,34987.42917100091,500,0.05
power,color_only_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,color15,10,20,200,0.96,0.96,,0.013856406460551024,0.93284144333732,0.9871585566626799,102.4166680765808,13.811837186123917,31144.649482299144,500,0.05
type1,color_only_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,color15,10,20,200,0.11,,0.11,0.022124646889837587,0.06663569209591833,0.15336430790408168,8.922914344848552,14.371975045419013,25397.338113141424,500,0.05
type1,color_only_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,color15,10,20,200,0.07,,0.07,0.01804161855266872,0.03463842763676932,0.1053615723632307,7.935318453502129,14.769607363628124,22298.400944741283,500,0.05
type1,color_only_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,color15,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.60058477082681,14.740479328707222,19565.66890892885,500,0.05
type1,color_only_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,color15,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,5.751747202323007,14.707076197439324,24282.773803740758,500,0.05
type1,color_only_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,color15,10,20,200,0.03,,0.03,0.012062338081814818,0.006357817359642956,0.05364218264035704,4.087898843216568,14.888137298224178,22128.825348250964,500,0.05
type1,color_only_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,color15,10,20,200,0.05,,0.05,0.015411035007422441,0.01979437138545202,0.08020562861454798,4.619840480765488,14.66312060333833,19501.937226070204,500,0.05
type1,color_only_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,color15,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,5.133764860407647,14.030127358288563,35263.78716522266,500,0.05
type1,color_only_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,color15,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.321703890218098,13.879709032470538,32527.81492694294,500,0.05
type1,color_only_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,color15,10,20,200,0.055,,0.055,0.016120638945153507,0.02340354766749913,0.08659645233250088,4.6328661152592865,13.934533853713543,29805.200698685803,500,0.05
type1,color_only_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,color15,10,20,200,0.11,,0.11,0.022124646889837587,0.06663569209591833,0.15336430790408168,7.255331520456361,14.06622293340407,31623.977871001498,500,0.05
type1,color_only_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,color15,10,20,200,0.1,,0.1,0.021213203435596427,0.05842212126623101,0.141577878733769,6.719560450079838,13.974674709874089,27866.774665311306,500,0.05
type1,color_only_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,color15,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,4.200422041063755,14.007776099747673,24750.051081111003,500,0.05
