result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,bootstrap_rejection_rate,permutation_rejection_rate,bootstrap_binomial_se,permutation_binomial_se,mean_stat,mean_bootstrap_cutoff,mean_permutation_cutoff,mean_cond_sigma_reg,B_boot,B_perm,alpha
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,centered_logits,10,20,200,0.285,0.345,0.03191982142807193,0.033613613313656115,12.492636141196149,13.127888031139047,10.86460799065424,36912.66407114664,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,semantic_centered,10,20,200,0.295,0.315,0.03224709289222828,0.032846232660687286,12.492095079365987,12.555615900050475,12.599303209715082,41388.098443780415,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_full,10,20,200,0.24,0.32,0.030199337741083,0.03298484500494128,11.4861535803275,14.226845722764464,11.790191199920496,29802.05776222145,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_top8_pca,10,20,200,0.23,0.3,0.02975735203273302,0.0324037034920393,11.217050202613581,14.27481289103439,12.15196443289343,27882.82109204109,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,final_full,10,20,200,0.235,0.325,0.029981244136960027,0.03311910324872942,11.510898132768693,14.018894291089696,11.663495031987013,31288.991332313744,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,centered_logits,10,20,200,0.465,0.605,0.03526861210765175,0.03456696399743547,17.225760214770077,12.979007949313687,10.188699799522057,34500.14193959368,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,semantic_centered,10,20,200,0.505,0.51,0.03535357124817803,0.03534826728426727,15.325408185636594,12.11434535819942,12.01930724503229,39864.80368705545,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_full,10,20,200,0.335,0.415,0.0333747659167821,0.0348407089480108,14.163389809273749,14.215371359217233,11.07108261826238,26605.15894270514,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_top8_pca,10,20,200,0.31,0.39,0.032703210851535665,0.03448912872196107,13.324179694943624,14.127706315704003,11.311354421117162,24708.126927369372,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,final_full,10,20,200,0.36,0.435,0.03394112549695428,0.03505531343462785,14.210157429930332,13.648825319938107,10.84986210304994,28071.29256101283,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,centered_logits,10,20,200,0.92,0.965,0.019183326093250873,0.012995191418367032,40.62343585738265,12.893458133606636,9.6300495633618,31041.30977618367,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,semantic_centered,10,20,200,0.92,0.96,0.019183326093250873,0.013856406460551024,35.7976128625295,12.122018334316827,10.354360677004513,36871.627260820045,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_full,10,20,200,0.815,0.85,0.027456784225396828,0.025248762345905194,30.16121997399109,13.746867998770659,10.737450531623757,24297.011481479658,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_top8_pca,10,20,200,0.735,0.825,0.031206970375222264,0.02686773157525585,27.70498508974717,13.976349287002481,11.104694902932966,22573.203635087564,500,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,final_full,10,20,200,0.81,0.89,0.02773986301336039,0.022124646889837583,30.65264653107184,13.688759373254674,10.595087367466645,25666.257753612623,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,centered_logits,10,20,200,0.21,0.24,0.028801041647829335,0.030199337741083,11.539253139404344,12.867450667257092,12.0021516873967,38970.727672088695,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,semantic_centered,10,20,200,0.185,0.235,0.027456784225396828,0.029981244136960027,9.421168958665842,13.035383403759806,11.386145882198534,37326.5663634941,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_full,10,20,200,0.42,0.4,0.034899856733230296,0.034641016151377546,23.75277869078147,13.483672208966077,16.47971713802794,38000.55946174143,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,10,20,200,0.41,0.395,0.0347778665245584,0.03456696399743547,23.534944685220186,13.466455383423634,16.404931172900174,36383.21279280927,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,final_full,10,20,200,0.4,0.42,0.034641016151377546,0.034899856733230296,22.448764671082817,13.357988345281862,15.58188568909317,39181.99409125402,500,500,0.05
