"noise_sigma","method","reject_rate"
0,"raw_pixel_gaussian5",0.0354
0.4,"raw_pixel_gaussian5",0.0294
0.8,"raw_pixel_gaussian5",0.0162
0,"layer1_gaussian5",0.051
0.4,"layer1_gaussian5",0.0476
0.8,"layer1_gaussian5",0.0502
0,"layer2_gaussian5",0.0456
0.4,"layer2_gaussian5",0.0482
0.8,"layer2_gaussian5",0.0526
0,"final_embedding_gaussian5",0.0494
0.4,"final_embedding_gaussian5",0.0518
0.8,"final_embedding_gaussian5",0.0534
0,"multilayer_single_gaussian",0.0516
0.4,"multilayer_single_gaussian",0.047
0.8,"multilayer_single_gaussian",0.0532
0,"multilayer_gaussian15",0.0544
0.4,"multilayer_gaussian15",0.0516
0.8,"multilayer_gaussian15",0.0618
