"outer_iter","noise_sigma","method","reject_rate"
1,0,"raw_pixel_gaussian5",0.938
1,0,"final_embedding_gaussian5",1
1,0.2,"raw_pixel_gaussian5",0.906
1,0.2,"final_embedding_gaussian5",0.996
1,0.4,"raw_pixel_gaussian5",0.808
1,0.4,"final_embedding_gaussian5",0.706
1,0.6,"raw_pixel_gaussian5",0.69
1,0.6,"final_embedding_gaussian5",0.202
1,0.8,"raw_pixel_gaussian5",0.404
1,0.8,"final_embedding_gaussian5",0.124
1,1,"raw_pixel_gaussian5",0.196
1,1,"final_embedding_gaussian5",0.062
2,0,"raw_pixel_gaussian5",0.912
2,0,"final_embedding_gaussian5",1
2,0.2,"raw_pixel_gaussian5",0.9
2,0.2,"final_embedding_gaussian5",1
2,0.4,"raw_pixel_gaussian5",0.828
2,0.4,"final_embedding_gaussian5",0.724
2,0.6,"raw_pixel_gaussian5",0.646
2,0.6,"final_embedding_gaussian5",0.148
2,0.8,"raw_pixel_gaussian5",0.42
2,0.8,"final_embedding_gaussian5",0.084
2,1,"raw_pixel_gaussian5",0.216
2,1,"final_embedding_gaussian5",0.076
3,0,"raw_pixel_gaussian5",0.924
3,0,"final_embedding_gaussian5",1
3,0.2,"raw_pixel_gaussian5",0.854
3,0.2,"final_embedding_gaussian5",1
3,0.4,"raw_pixel_gaussian5",0.816
3,0.4,"final_embedding_gaussian5",0.82
3,0.6,"raw_pixel_gaussian5",0.66
3,0.6,"final_embedding_gaussian5",0.216
3,0.8,"raw_pixel_gaussian5",0.364
3,0.8,"final_embedding_gaussian5",0.098
3,1,"raw_pixel_gaussian5",0.14
3,1,"final_embedding_gaussian5",0.078
4,0,"raw_pixel_gaussian5",0.92
4,0,"final_embedding_gaussian5",1
4,0.2,"raw_pixel_gaussian5",0.9
4,0.2,"final_embedding_gaussian5",0.998
4,0.4,"raw_pixel_gaussian5",0.846
4,0.4,"final_embedding_gaussian5",0.758
4,0.6,"raw_pixel_gaussian5",0.618
4,0.6,"final_embedding_gaussian5",0.16
4,0.8,"raw_pixel_gaussian5",0.362
4,0.8,"final_embedding_gaussian5",0.112
4,1,"raw_pixel_gaussian5",0.202
4,1,"final_embedding_gaussian5",0.044
5,0,"raw_pixel_gaussian5",0.916
5,0,"final_embedding_gaussian5",1
5,0.2,"raw_pixel_gaussian5",0.87
5,0.2,"final_embedding_gaussian5",1
5,0.4,"raw_pixel_gaussian5",0.816
5,0.4,"final_embedding_gaussian5",0.776
5,0.6,"raw_pixel_gaussian5",0.642
5,0.6,"final_embedding_gaussian5",0.216
5,0.8,"raw_pixel_gaussian5",0.406
5,0.8,"final_embedding_gaussian5",0.112
5,1,"raw_pixel_gaussian5",0.164
5,1,"final_embedding_gaussian5",0.056
6,0,"raw_pixel_gaussian5",0.926
6,0,"final_embedding_gaussian5",1
6,0.2,"raw_pixel_gaussian5",0.896
6,0.2,"final_embedding_gaussian5",0.998
6,0.4,"raw_pixel_gaussian5",0.814
6,0.4,"final_embedding_gaussian5",0.776
6,0.6,"raw_pixel_gaussian5",0.662
6,0.6,"final_embedding_gaussian5",0.166
6,0.8,"raw_pixel_gaussian5",0.358
6,0.8,"final_embedding_gaussian5",0.09
6,1,"raw_pixel_gaussian5",0.186
6,1,"final_embedding_gaussian5",0.074
7,0,"raw_pixel_gaussian5",0.92
7,0,"final_embedding_gaussian5",1
7,0.2,"raw_pixel_gaussian5",0.872
7,0.2,"final_embedding_gaussian5",1
7,0.4,"raw_pixel_gaussian5",0.818
7,0.4,"final_embedding_gaussian5",0.744
7,0.6,"raw_pixel_gaussian5",0.686
7,0.6,"final_embedding_gaussian5",0.198
7,0.8,"raw_pixel_gaussian5",0.346
7,0.8,"final_embedding_gaussian5",0.082
7,1,"raw_pixel_gaussian5",0.166
7,1,"final_embedding_gaussian5",0.086
8,0,"raw_pixel_gaussian5",0.92
8,0,"final_embedding_gaussian5",1
8,0.2,"raw_pixel_gaussian5",0.884
8,0.2,"final_embedding_gaussian5",1
8,0.4,"raw_pixel_gaussian5",0.804
8,0.4,"final_embedding_gaussian5",0.77
8,0.6,"raw_pixel_gaussian5",0.666
8,0.6,"final_embedding_gaussian5",0.218
8,0.8,"raw_pixel_gaussian5",0.374
8,0.8,"final_embedding_gaussian5",0.09
8,1,"raw_pixel_gaussian5",0.206
8,1,"final_embedding_gaussian5",0.114
9,0,"raw_pixel_gaussian5",0.95
9,0,"final_embedding_gaussian5",1
9,0.2,"raw_pixel_gaussian5",0.9
9,0.2,"final_embedding_gaussian5",1
9,0.4,"raw_pixel_gaussian5",0.836
9,0.4,"final_embedding_gaussian5",0.792
9,0.6,"raw_pixel_gaussian5",0.686
9,0.6,"final_embedding_gaussian5",0.254
9,0.8,"raw_pixel_gaussian5",0.418
9,0.8,"final_embedding_gaussian5",0.12
9,1,"raw_pixel_gaussian5",0.158
9,1,"final_embedding_gaussian5",0.088
10,0,"raw_pixel_gaussian5",0.91
10,0,"final_embedding_gaussian5",1
10,0.2,"raw_pixel_gaussian5",0.904
10,0.2,"final_embedding_gaussian5",1
10,0.4,"raw_pixel_gaussian5",0.838
10,0.4,"final_embedding_gaussian5",0.764
10,0.6,"raw_pixel_gaussian5",0.646
10,0.6,"final_embedding_gaussian5",0.176
10,0.8,"raw_pixel_gaussian5",0.41
10,0.8,"final_embedding_gaussian5",0.118
10,1,"raw_pixel_gaussian5",0.232
10,1,"final_embedding_gaussian5",0.056
