experiment,scenario,setting,label,label_name,n,representation,preprocess,outer_repetitions,inner_repetitions,independent_tests,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,cond_sigma_reg_summary,cond_sigma_reg_stat,B_boot,alpha,source,reused_from
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,final_semantic,channel_standardized,10,500,5000,0.1004,0.004250172702373399,0.09206966150334814,0.10873033849665187,7.124653545544916,13.844911345252779,29704.71367847098,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,final_residual,channel_standardized,10,500,5000,0.0896,0.004039104851325353,0.08168335449140231,0.09751664550859769,7.223597892215729,15.019043921758243,20929.60126489717,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,final_full,none,10,500,5000,0.0986,0.004216112901714089,0.09033641871264038,0.10686358128735961,6.908179497293985,13.38108075823908,38407.19499621804,median,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/experiments/04_center_shift_type1_checks/Results/pathmnist_center_shift_summary.csv
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,logits,none,10,500,5000,0.0788,0.003810264032846018,0.0713318824956218,0.08626811750437818,5.622396471337634,12.70717772787983,41173.597148844005,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,final_semantic,none,10,500,5000,0.0812,0.003862811411394556,0.07362888963366666,0.08877111036633333,5.420040210082436,12.289325441561656,43860.024621668395,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,final_residual,none,10,500,5000,0.0978,0.0042008370594442245,0.08956635936348932,0.10603364063651068,6.999501832519581,13.582582039061462,35571.9452378642,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,final_semantic,channel_standardized,10,500,5000,0.0796,0.003827893415444061,0.07209732890572965,0.08710267109427036,5.757043860534857,13.795214118334773,24958.90033780359,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,final_residual,channel_standardized,10,500,5000,0.0712,0.0036367721952302702,0.06407192649734866,0.07832807350265134,5.746334856912122,14.939832297680166,17438.66629855904,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,final_full,none,10,500,5000,0.07,0.003608323710533743,0.06292768552735387,0.07707231447264615,4.900113104182723,13.335285137686157,34472.75650755551,median,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/experiments/04_center_shift_type1_checks/Results/pathmnist_center_shift_summary.csv
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,logits,none,10,500,5000,0.0684,0.0035699142846852784,0.061402968002016854,0.07539703199798314,4.61863153076881,12.490645683466095,39010.56898488362,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,final_semantic,none,10,500,5000,0.0696,0.003598773124274438,0.0625464046764221,0.07665359532357789,4.372975891249532,12.023448709741025,42367.48748651767,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,final_residual,none,10,500,5000,0.07,0.003608323710533743,0.06292768552735387,0.07707231447264615,4.955743359511584,13.476388797816064,32101.29810765927,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,final_semantic,channel_standardized,10,500,5000,0.0626,0.003425820777565575,0.055885391275971474,0.06931460872402853,4.810423829700791,13.75167865595941,20594.989064027985,mean,500,0.05,computed,
center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,final_residual,channel_standardized,10,500,5000,0.0588,0.0033269373303385203,0.052279202832536495,0.0653207971674635,4.892906343436077,14.893302228102234,15035.96773023494,mean,500,0.05,computed,
