result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_full_color_adjusted,10,20,200,0.14,0.14,,0.024535688292770596,0.09191005094616965,0.18808994905383036,9.114903925102261,13.818054901233872,29909.65268828991,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_top8_pca_color_adjusted,10,20,200,0.135,0.135,,0.024163505540380516,0.0876395291408542,0.1823604708591458,8.97804756842623,13.963549775810629,27494.415860075165,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,semantic_centered_color_adjusted,10,20,200,0.255,0.255,,0.030820042180373472,0.194592717326468,0.315407282673532,16.424430366183334,13.148773302406946,37206.63845595999,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_full_color_adjusted,10,20,200,0.16,0.16,,0.02592296279363144,0.10919099292448238,0.21080900707551764,8.0570947387261,13.791200217509521,24345.892040155144,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_top8_pca_color_adjusted,10,20,200,0.155,0.155,,0.02559052559053839,0.10484256984254475,0.20515743015745525,8.005914405634584,13.928208612745049,22294.63523374233,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,semantic_centered_color_adjusted,10,20,200,0.325,0.325,,0.03311910324872942,0.26008655763249033,0.3899134423675097,14.339295002011585,13.080340821911285,32636.615640628985,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_full_color_adjusted,10,20,200,0.3,0.3,,0.0324037034920393,0.23648874115560298,0.363511258844397,15.17122812530566,14.045273955741244,18885.51362930705,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_top8_pca_color_adjusted,10,20,200,0.295,0.295,,0.03224709289222828,0.23179569793123256,0.3582043020687674,14.740578402431588,14.195193735631491,17746.45822456075,500,0.05
power,color_adjusted_center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,semantic_centered_color_adjusted,10,20,200,0.545,0.545,,0.035211858797853886,0.47598475675620644,0.6140152432437936,27.247356351358107,12.83145885589739,28590.93295462128,500,0.05
power,color_adjusted_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_full_color_adjusted,10,20,200,0.315,0.315,,0.032846232660687286,0.2506213839850529,0.3793786160149471,22.001573250693763,13.162060871047233,38707.3635602256,500,0.05
power,color_adjusted_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca_color_adjusted,10,20,200,0.305,0.305,,0.03255572146336186,0.24119078593181076,0.36880921406818923,21.271473446929296,13.201099869236684,36651.83896987413,500,0.05
power,color_adjusted_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,semantic_centered_color_adjusted,10,20,200,0.23,0.23,,0.02975735203273302,0.1716755900158433,0.2883244099841567,26.29595805606886,13.009899561970533,37920.67462366536,500,0.05
power,color_adjusted_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_full_color_adjusted,10,20,200,0.325,0.325,,0.03311910324872942,0.26008655763249033,0.3899134423675097,15.980401685847118,12.998513701427532,34828.97873376025,500,0.05
power,color_adjusted_center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca_color_adjusted,10,20,200,0.325,0.325,,0.03311910324872942,0.26008655763249033,0.3899134423675097,14.737470148420925,12.981214616813029,32778.23117881924,500,0.05
