result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k1,10,20,200,0.26,0.26,,0.031016124838541645,0.1992083953164584,0.3207916046835416,20.93179399132735,15.877049654319073,23641.218639968716,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k16,10,20,200,0.43,0.43,,0.03500714212842859,0.3613860014282799,0.49861399857172006,28.04754513658835,13.306075889039557,38150.96413928094,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k2,10,20,200,0.395,0.395,,0.03456696399743547,0.3272487505650265,0.46275124943497353,27.142255471445182,14.24324308488385,32469.26038137925,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k32,10,20,200,0.44,0.44,,0.03509985754956849,0.37120427920284577,0.5087957207971543,28.04809609214341,13.225668180170286,38229.14581287406,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k4,10,20,200,0.42,0.42,,0.034899856733230296,0.3515962808028686,0.4884037191971314,28.36022173215622,13.483511840260663,36811.73154158214,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k8,10,20,200,0.445,0.445,,0.03514078826662828,0.3761240549974086,0.5138759450025915,27.96556693265713,13.448930953156562,37846.23808186145,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k1,10,20,200,0.405,0.405,,0.0347113093962184,0.336965833583412,0.4730341664165881,24.67370114868579,15.78158406100768,21139.34182163399,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k16,10,20,200,0.695,0.695,,0.03255572146336186,0.6311907859318107,0.7588092140681892,40.450982351187704,13.278427343549398,35332.36132174631,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k2,10,20,200,0.615,0.615,,0.034407484650872115,0.5475613300842906,0.6824386699157093,35.861382013299696,14.017071931927257,29340.860374330798,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k32,10,20,200,0.695,0.695,,0.03255572146336186,0.6311907859318107,0.7588092140681892,40.452753413587246,13.416530199262443,35428.85587175446,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k4,10,20,200,0.675,0.675,,0.03311910324872942,0.6100865576324904,0.7399134423675097,40.47739447314733,13.42689229439038,33815.653945243655,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k8,10,20,200,0.69,0.69,,0.032703210851535665,0.62590170673099,0.7540982932690099,40.48292406193796,13.437884893384599,34968.676741665884,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k1,10,20,200,0.595,0.595,,0.0347113093962184,0.5269658335834119,0.6630341664165881,37.32732180050434,15.738398890635876,19259.389262801913,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k16,10,20,200,0.975,0.975,,0.011039701082909813,0.9533621858774968,0.9966378141225032,84.71987923800219,13.297945780014167,31955.624217698467,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k2,10,20,200,0.925,0.925,,0.01862458053218917,0.8884958221569093,0.9615041778430908,75.1612923704616,14.036373012384802,26424.96455013867,500,0.05
power,residual_intrinsic_dimension,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k32,10,20,200,0.965,0.965,,0.012995191418367032,0.9395294248200006,0.9904705751799994,84.67588942974037,13.454238853901861,32025.166118898167,500,0.05
