"method","m","power"
"Single-Gauss (orig)",50,0.09
"Single-LAP (orig)",50,0.08
"Multi-LAP (orig)",50,0.11
"Multi-GEXP (orig)",50,0.25
"Multi-MIXED (orig)",50,0.24
"MMMD-GEXP (new)",50,0.33
"MMMD-LAP (new)",50,0.19
"MMMD-MIXED (new)",50,0.3
"Graph-MMMD (new)",50,0.16
"Single-Gauss (orig)",100,0.25
"Single-LAP (orig)",100,0.43
"Multi-LAP (orig)",100,0.76
"Multi-GEXP (orig)",100,0.83
"Multi-MIXED (orig)",100,0.79
"MMMD-GEXP (new)",100,0.81
"MMMD-LAP (new)",100,0.65
"MMMD-MIXED (new)",100,0.84
"Graph-MMMD (new)",100,0.39
"Single-Gauss (orig)",150,0.39
"Single-LAP (orig)",150,0.82
"Multi-LAP (orig)",150,0.99
"Multi-GEXP (orig)",150,1
"Multi-MIXED (orig)",150,1
"MMMD-GEXP (new)",150,1
"MMMD-LAP (new)",150,1
"MMMD-MIXED (new)",150,0.99
"Graph-MMMD (new)",150,0.91
"Single-Gauss (orig)",200,0.51
"Single-LAP (orig)",200,0.93
"Multi-LAP (orig)",200,1
"Multi-GEXP (orig)",200,1
"Multi-MIXED (orig)",200,1
"MMMD-GEXP (new)",200,1
"MMMD-LAP (new)",200,1
"MMMD-MIXED (new)",200,1
"Graph-MMMD (new)",200,1
