"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.97,"power"
1,0.2,"GAUSS5",0.84,"power"
1,0.4,"GAUSS5",1,"power"
1,0.6,"GAUSS5",0.95,"power"
1,0.8,"GAUSS5",0.68,"power"
1,1,"GAUSS5",0.34,"power"
2,0,"GAUSS5",1,"power"
2,0.2,"GAUSS5",0.84,"power"
2,0.4,"GAUSS5",0.98,"power"
2,0.6,"GAUSS5",0.91,"power"
2,0.8,"GAUSS5",0.6,"power"
2,1,"GAUSS5",0.38,"power"
3,0,"GAUSS5",0.98,"power"
3,0.2,"GAUSS5",0.88,"power"
3,0.4,"GAUSS5",1,"power"
3,0.6,"GAUSS5",0.92,"power"
3,0.8,"GAUSS5",0.48,"power"
3,1,"GAUSS5",0.33,"power"
4,0,"GAUSS5",0.99,"power"
4,0.2,"GAUSS5",0.84,"power"
4,0.4,"GAUSS5",0.99,"power"
4,0.6,"GAUSS5",0.98,"power"
4,0.8,"GAUSS5",0.64,"power"
4,1,"GAUSS5",0.28,"power"
5,0,"GAUSS5",0.99,"power"
5,0.2,"GAUSS5",0.82,"power"
5,0.4,"GAUSS5",1,"power"
5,0.6,"GAUSS5",0.95,"power"
5,0.8,"GAUSS5",0.7,"power"
5,1,"GAUSS5",0.36,"power"
6,0,"GAUSS5",0.98,"power"
6,0.2,"GAUSS5",0.87,"power"
6,0.4,"GAUSS5",1,"power"
6,0.6,"GAUSS5",0.95,"power"
6,0.8,"GAUSS5",0.66,"power"
6,1,"GAUSS5",0.23,"power"
7,0,"GAUSS5",0.93,"power"
7,0.2,"GAUSS5",0.8,"power"
7,0.4,"GAUSS5",0.99,"power"
7,0.6,"GAUSS5",0.95,"power"
7,0.8,"GAUSS5",0.63,"power"
7,1,"GAUSS5",0.31,"power"
8,0,"GAUSS5",0.98,"power"
8,0.2,"GAUSS5",0.88,"power"
8,0.4,"GAUSS5",0.98,"power"
8,0.6,"GAUSS5",0.94,"power"
8,0.8,"GAUSS5",0.62,"power"
8,1,"GAUSS5",0.37,"power"
9,0,"GAUSS5",1,"power"
9,0.2,"GAUSS5",0.86,"power"
9,0.4,"GAUSS5",0.99,"power"
9,0.6,"GAUSS5",0.89,"power"
9,0.8,"GAUSS5",0.73,"power"
9,1,"GAUSS5",0.3,"power"
10,0,"GAUSS5",0.98,"power"
10,0.2,"GAUSS5",0.85,"power"
10,0.4,"GAUSS5",1,"power"
10,0.6,"GAUSS5",0.93,"power"
10,0.8,"GAUSS5",0.63,"power"
10,1,"GAUSS5",0.25,"power"
