"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",1,"power"
1,0.2,"GAUSS5",1,"power"
1,0.4,"GAUSS5",1,"power"
1,0.6,"GAUSS5",1,"power"
1,0.8,"GAUSS5",1,"power"
1,1,"GAUSS5",1,"power"
2,0,"GAUSS5",1,"power"
2,0.2,"GAUSS5",1,"power"
2,0.4,"GAUSS5",1,"power"
2,0.6,"GAUSS5",1,"power"
2,0.8,"GAUSS5",1,"power"
2,1,"GAUSS5",1,"power"
3,0,"GAUSS5",1,"power"
3,0.2,"GAUSS5",1,"power"
3,0.4,"GAUSS5",1,"power"
3,0.6,"GAUSS5",1,"power"
3,0.8,"GAUSS5",1,"power"
3,1,"GAUSS5",1,"power"
4,0,"GAUSS5",1,"power"
4,0.2,"GAUSS5",1,"power"
4,0.4,"GAUSS5",1,"power"
4,0.6,"GAUSS5",1,"power"
4,0.8,"GAUSS5",1,"power"
4,1,"GAUSS5",1,"power"
5,0,"GAUSS5",1,"power"
5,0.2,"GAUSS5",1,"power"
5,0.4,"GAUSS5",1,"power"
5,0.6,"GAUSS5",1,"power"
5,0.8,"GAUSS5",1,"power"
5,1,"GAUSS5",1,"power"
6,0,"GAUSS5",1,"power"
6,0.2,"GAUSS5",1,"power"
6,0.4,"GAUSS5",1,"power"
6,0.6,"GAUSS5",1,"power"
6,0.8,"GAUSS5",1,"power"
6,1,"GAUSS5",1,"power"
7,0,"GAUSS5",1,"power"
7,0.2,"GAUSS5",1,"power"
7,0.4,"GAUSS5",1,"power"
7,0.6,"GAUSS5",1,"power"
7,0.8,"GAUSS5",1,"power"
7,1,"GAUSS5",1,"power"
8,0,"GAUSS5",1,"power"
8,0.2,"GAUSS5",1,"power"
8,0.4,"GAUSS5",1,"power"
8,0.6,"GAUSS5",1,"power"
8,0.8,"GAUSS5",1,"power"
8,1,"GAUSS5",1,"power"
9,0,"GAUSS5",1,"power"
9,0.2,"GAUSS5",1,"power"
9,0.4,"GAUSS5",1,"power"
9,0.6,"GAUSS5",1,"power"
9,0.8,"GAUSS5",1,"power"
9,1,"GAUSS5",1,"power"
10,0,"GAUSS5",1,"power"
10,0.2,"GAUSS5",1,"power"
10,0.4,"GAUSS5",1,"power"
10,0.6,"GAUSS5",1,"power"
10,0.8,"GAUSS5",1,"power"
10,1,"GAUSS5",1,"power"
