"noise_sigma","method","scenario","power_mean","power_se","n_rep"
0,"GAUSS1","power",0.945,0.0074907350180814,10
0,"GAUSS5","power",0.912,0.00771722460186015,10
0,"LAP1","power",0.669,0.0179783820802157,10
0,"LAP5","power",0.946,0.00686375342732466,10
0,"MIXED","power",0.923,0.00882546819658248,10
0.2,"GAUSS1","power",0.949,0.00604611904907235,10
0.2,"GAUSS5","power",0.887,0.00830662386291808,10
0.2,"LAP1","power",0.692,0.0179381653960983,10
0.2,"LAP5","power",0.931,0.0108985218161812,10
0.2,"MIXED","power",0.894,0.00871779788708136,10
0.4,"GAUSS1","power",0.962,0.00573488351136176,10
0.4,"GAUSS5","power",0.946,0.00581186525805423,10
0.4,"LAP1","power",0.794,0.0135973853695808,10
0.4,"LAP5","power",0.965,0.00521749194749951,10
0.4,"MIXED","power",0.944,0.00805536398239637,10
0.6,"GAUSS1","power",0.978,0.00533333333333334,10
0.6,"GAUSS5","power",0.979,0.00276887462097269,10
0.6,"LAP1","power",0.881,0.00822597511950205,10
0.6,"LAP5","power",0.986,0.00266666666666667,10
0.6,"MIXED","power",0.978,0.00359010987142301,10
0.8,"GAUSS1","power",0.891,0.0102686145338329,10
0.8,"GAUSS5","power",0.828,0.0154056266777218,10
0.8,"LAP1","power",0.722,0.0218987569408758,10
0.8,"LAP5","power",0.86,0.0129957257930786,10
0.8,"MIXED","power",0.834,0.015930404193798,10
1,"GAUSS1","power",0.589,0.0144106442141449,10
1,"GAUSS5","power",0.438,0.0157621205567159,10
1,"LAP1","power",0.375,0.0193935842770518,10
1,"LAP5","power",0.482,0.0165193489244852,10
1,"MIXED","power",0.425,0.0166833250083229,10
