"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.9,"power"
1,0.2,"GAUSS5",0.91,"power"
1,0.4,"GAUSS5",0.98,"power"
1,0.6,"GAUSS5",0.99,"power"
1,0.8,"GAUSS5",0.87,"power"
1,1,"GAUSS5",0.5,"power"
2,0,"GAUSS5",0.9,"power"
2,0.2,"GAUSS5",0.87,"power"
2,0.4,"GAUSS5",0.95,"power"
2,0.6,"GAUSS5",0.98,"power"
2,0.8,"GAUSS5",0.82,"power"
2,1,"GAUSS5",0.43,"power"
3,0,"GAUSS5",0.86,"power"
3,0.2,"GAUSS5",0.86,"power"
3,0.4,"GAUSS5",0.93,"power"
3,0.6,"GAUSS5",0.97,"power"
3,0.8,"GAUSS5",0.74,"power"
3,1,"GAUSS5",0.4,"power"
4,0,"GAUSS5",0.96,"power"
4,0.2,"GAUSS5",0.86,"power"
4,0.4,"GAUSS5",0.9,"power"
4,0.6,"GAUSS5",0.98,"power"
4,0.8,"GAUSS5",0.89,"power"
4,1,"GAUSS5",0.42,"power"
5,0,"GAUSS5",0.96,"power"
5,0.2,"GAUSS5",0.92,"power"
5,0.4,"GAUSS5",0.94,"power"
5,0.6,"GAUSS5",0.97,"power"
5,0.8,"GAUSS5",0.9,"power"
5,1,"GAUSS5",0.4,"power"
6,0,"GAUSS5",0.93,"power"
6,0.2,"GAUSS5",0.87,"power"
6,0.4,"GAUSS5",0.95,"power"
6,0.6,"GAUSS5",0.99,"power"
6,0.8,"GAUSS5",0.77,"power"
6,1,"GAUSS5",0.44,"power"
7,0,"GAUSS5",0.93,"power"
7,0.2,"GAUSS5",0.94,"power"
7,0.4,"GAUSS5",0.93,"power"
7,0.6,"GAUSS5",0.98,"power"
7,0.8,"GAUSS5",0.82,"power"
7,1,"GAUSS5",0.39,"power"
8,0,"GAUSS5",0.91,"power"
8,0.2,"GAUSS5",0.91,"power"
8,0.4,"GAUSS5",0.93,"power"
8,0.6,"GAUSS5",0.96,"power"
8,0.8,"GAUSS5",0.85,"power"
8,1,"GAUSS5",0.53,"power"
9,0,"GAUSS5",0.92,"power"
9,0.2,"GAUSS5",0.86,"power"
9,0.4,"GAUSS5",0.96,"power"
9,0.6,"GAUSS5",0.97,"power"
9,0.8,"GAUSS5",0.84,"power"
9,1,"GAUSS5",0.35,"power"
10,0,"GAUSS5",0.95,"power"
10,0.2,"GAUSS5",0.82,"power"
10,0.4,"GAUSS5",0.95,"power"
10,0.6,"GAUSS5",0.97,"power"
10,0.8,"GAUSS5",0.8,"power"
10,1,"GAUSS5",0.43,"power"
