outer_iter,noise_sigma,method,reject_rate,scenario
1,0.0,GAUSS5,0.67,power
1,0.2,GAUSS5,0.8,power
1,0.4,GAUSS5,0.82,power
1,0.6,GAUSS5,0.68,power
1,0.8,GAUSS5,0.64,power
1,1.0,GAUSS5,0.5,power
2,0.0,GAUSS5,0.69,power
2,0.2,GAUSS5,0.71,power
2,0.4,GAUSS5,0.76,power
2,0.6,GAUSS5,0.73,power
2,0.8,GAUSS5,0.66,power
2,1.0,GAUSS5,0.51,power
3,0.0,GAUSS5,0.69,power
3,0.2,GAUSS5,0.87,power
3,0.4,GAUSS5,0.67,power
3,0.6,GAUSS5,0.72,power
3,0.8,GAUSS5,0.59,power
3,1.0,GAUSS5,0.41,power
4,0.0,GAUSS5,0.59,power
4,0.2,GAUSS5,0.69,power
4,0.4,GAUSS5,0.78,power
4,0.6,GAUSS5,0.67,power
4,0.8,GAUSS5,0.53,power
4,1.0,GAUSS5,0.53,power
5,0.0,GAUSS5,0.69,power
5,0.2,GAUSS5,0.75,power
5,0.4,GAUSS5,0.74,power
5,0.6,GAUSS5,0.72,power
5,0.8,GAUSS5,0.57,power
5,1.0,GAUSS5,0.51,power
6,0.0,GAUSS5,0.66,power
6,0.2,GAUSS5,0.75,power
6,0.4,GAUSS5,0.77,power
6,0.6,GAUSS5,0.66,power
6,0.8,GAUSS5,0.65,power
6,1.0,GAUSS5,0.54,power
7,0.0,GAUSS5,0.67,power
7,0.2,GAUSS5,0.77,power
7,0.4,GAUSS5,0.77,power
7,0.6,GAUSS5,0.69,power
7,0.8,GAUSS5,0.63,power
7,1.0,GAUSS5,0.53,power
8,0.0,GAUSS5,0.66,power
8,0.2,GAUSS5,0.79,power
8,0.4,GAUSS5,0.79,power
8,0.6,GAUSS5,0.64,power
8,0.8,GAUSS5,0.61,power
8,1.0,GAUSS5,0.57,power
9,0.0,GAUSS5,0.78,power
9,0.2,GAUSS5,0.77,power
9,0.4,GAUSS5,0.69,power
9,0.6,GAUSS5,0.65,power
9,0.8,GAUSS5,0.59,power
9,1.0,GAUSS5,0.55,power
10,0.0,GAUSS5,0.66,power
10,0.2,GAUSS5,0.75,power
10,0.4,GAUSS5,0.84,power
10,0.6,GAUSS5,0.67,power
10,0.8,GAUSS5,0.49,power
10,1.0,GAUSS5,0.5,power
