method_label,sample_size,scenario,noise_sigma,metric_mean,metric_se,n_rep
CLIP + GAUSS5,30,power,0.6,0.5,0.0353553390593274,4
DINOv2 + GAUSS5,30,power,0.6,0.5125,0.0239356776939085,4
Raw Pixel + GAUSS5,30,power,0.6,0.0625,0.0314576434802947,4
CLIP + GAUSS5,60,power,0.6,0.775,0.0433012701892219,4
DINOv2 + GAUSS5,60,power,0.6,0.8875,0.0375,4
Raw Pixel + GAUSS5,60,power,0.6,0.4125,0.0625,4
CLIP + GAUSS5,90,power,0.6,0.8875,0.0800390529679106,4
DINOv2 + GAUSS5,90,power,0.6,0.9625,0.0125,4
Raw Pixel + GAUSS5,90,power,0.6,0.7125,0.0426956281914983,4
CLIP + GAUSS5,120,power,0.6,0.9625,0.0239356776939085,4
DINOv2 + GAUSS5,120,power,0.6,1.0,0.0,4
Raw Pixel + GAUSS5,120,power,0.6,0.8875,0.0426956281914983,4
CLIP + GAUSS5,150,power,0.6,1.0,0.0,4
DINOv2 + GAUSS5,150,power,0.6,1.0,0.0,4
Raw Pixel + GAUSS5,150,power,0.6,0.9875,0.0125,4
CLIP + GAUSS5,30,type1_a,0.6,0.0875,0.0375,4
DINOv2 + GAUSS5,30,type1_a,0.6,0.075,0.0144337567297406,4
Raw Pixel + GAUSS5,30,type1_a,0.6,0.025,0.025,4
CLIP + GAUSS5,60,type1_a,0.6,0.125,0.0478713553878169,4
DINOv2 + GAUSS5,60,type1_a,0.6,0.0375,0.0239356776939085,4
Raw Pixel + GAUSS5,60,type1_a,0.6,0.0375,0.0239356776939084,4
CLIP + GAUSS5,90,type1_a,0.6,0.0375,0.0125,4
DINOv2 + GAUSS5,90,type1_a,0.6,0.05,0.0204124145231932,4
Raw Pixel + GAUSS5,90,type1_a,0.6,0.0375,0.0239356776939084,4
CLIP + GAUSS5,120,type1_a,0.6,0.075,0.0144337567297406,4
DINOv2 + GAUSS5,120,type1_a,0.6,0.0375,0.0239356776939085,4
Raw Pixel + GAUSS5,120,type1_a,0.6,0.025,0.0144337567297406,4
CLIP + GAUSS5,150,type1_a,0.6,0.025,0.0144337567297406,4
DINOv2 + GAUSS5,150,type1_a,0.6,0.0125,0.0125,4
Raw Pixel + GAUSS5,150,type1_a,0.6,0.0125,0.0125,4
CLIP + GAUSS5,30,type1_b,0.6,0.1,0.0353553390593274,4
DINOv2 + GAUSS5,30,type1_b,0.6,0.025,0.0144337567297406,4
Raw Pixel + GAUSS5,30,type1_b,0.6,0.025,0.0144337567297406,4
CLIP + GAUSS5,60,type1_b,0.6,0.025,0.0144337567297406,4
DINOv2 + GAUSS5,60,type1_b,0.6,0.025,0.0144337567297406,4
Raw Pixel + GAUSS5,60,type1_b,0.6,0.0125,0.0125,4
CLIP + GAUSS5,90,type1_b,0.6,0.0125,0.0125,4
DINOv2 + GAUSS5,90,type1_b,0.6,0.025,0.0144337567297406,4
Raw Pixel + GAUSS5,90,type1_b,0.6,0.0125,0.0125,4
CLIP + GAUSS5,120,type1_b,0.6,0.025,0.0144337567297406,4
DINOv2 + GAUSS5,120,type1_b,0.6,0.025,0.0144337567297406,4
Raw Pixel + GAUSS5,120,type1_b,0.6,0.0125,0.0125,4
CLIP + GAUSS5,150,type1_b,0.6,0.0625,0.0375,4
DINOv2 + GAUSS5,150,type1_b,0.6,0.05,0.0288675134594813,4
Raw Pixel + GAUSS5,150,type1_b,0.6,0.0125,0.0125,4
