"setting","rep_id","method","reject","stat","cutoff","kernel_count","cond_sigma"
"type1",1,"GAUSS1",0,-0.360211103620871,0.777035808113902,1,NA
"type1",1,"GAUSS5",0,1.68275480198926,13.9918467528885,5,1478582.39416422
"power",1,"GAUSS1",0,0.0907151880462653,1.08386778164379,1,NA
"power",1,"GAUSS5",0,10.8267386186721,13.0689059542932,5,1485074.99080936
"type1",2,"GAUSS1",0,-0.330676208269919,0.923637219823684,1,NA
"type1",2,"GAUSS5",0,1.43726969539056,11.2369019910213,5,1850047.36941273
"power",2,"GAUSS1",1,0.807569309358533,0.566371431013205,1,NA
"power",2,"GAUSS5",1,19.2928176656865,14.6151719216131,5,1586944.608469
"type1",3,"GAUSS1",0,0.136367289830288,0.977548269356639,1,NA
"type1",3,"GAUSS5",0,8.74890783606767,15.5065126988741,5,1837125.2006675
"power",3,"GAUSS1",1,1.26356318130667,1.12487151593699,1,NA
"power",3,"GAUSS5",1,51.6912501026948,13.5514905441608,5,1346014.27139925
"type1",4,"GAUSS1",0,-0.111968253513045,0.715365807736805,1,NA
"type1",4,"GAUSS5",0,5.2003283550451,14.156893018115,5,1306897.07733363
"power",4,"GAUSS1",0,0.552597710163376,0.813412553122937,1,NA
"power",4,"GAUSS5",1,14.517383196533,13.4575572387395,5,1529355.45887378
"type1",5,"GAUSS1",0,-0.278881965090666,0.705074503866594,1,NA
"type1",5,"GAUSS5",0,3.25813566485417,16.2133971443688,5,1419837.46935429
"power",5,"GAUSS1",0,-0.00965387580513011,0.882629082405828,1,NA
"power",5,"GAUSS5",0,1.96447898948967,13.6622268780729,5,1577290.85213341
