method_label,sample_size,scenario,noise_sigma,metric_mean,metric_se,n_rep
CNN Layer2 GAP + GAUSS5,30,power,0.0,0.15,0.0456435464587638,4
CNN Layer2 GAP + GAUSS5,30,type1_a,0.0,0.1,0.0204124145231931,4
CNN Layer2 GAP + GAUSS5,30,type1_b,0.0,0.0375,0.0239356776939085,4
CNN Layer2 GAP + GAUSS5,60,power,0.0,0.275,0.025,4
CNN Layer2 GAP + GAUSS5,60,type1_a,0.0,0.1125,0.0473242362150023,4
CNN Layer2 GAP + GAUSS5,60,type1_b,0.0,0.0875,0.0426956281914983,4
CNN Layer2 GAP + GAUSS5,90,power,0.0,0.475,0.0924211375534118,4
CNN Layer2 GAP + GAUSS5,90,type1_a,0.0,0.075,0.025,4
CNN Layer2 GAP + GAUSS5,90,type1_b,0.0,0.0375,0.0125,4
CNN Layer2 GAP + GAUSS5,120,power,0.0,0.575,0.0629152869605896,4
CNN Layer2 GAP + GAUSS5,120,type1_a,0.0,0.1,0.0456435464587638,4
CNN Layer2 GAP + GAUSS5,120,type1_b,0.0,0.0625,0.0314576434802948,4
CNN Layer2 GAP + GAUSS5,150,power,0.0,0.8,0.0353553390593274,4
CNN Layer2 GAP + GAUSS5,150,type1_a,0.0,0.075,0.025,4
CNN Layer2 GAP + GAUSS5,150,type1_b,0.0,0.0625,0.0314576434802948,4
