method_label,sample_size,scenario,noise_sigma,metric_mean,metric_se,n_rep
CNN Final FC128 + GAUSS5,30,power,0.0,0.1,0.0204124145231931,4
CNN Final FC128 + GAUSS5,30,type1_a,0.0,0.05,0.0204124145231932,4
CNN Final FC128 + GAUSS5,30,type1_b,0.0,0.0625,0.0375,4
CNN Final FC128 + GAUSS5,60,power,0.0,0.2875,0.0125,4
CNN Final FC128 + GAUSS5,60,type1_a,0.0,0.0375,0.0239356776939085,4
CNN Final FC128 + GAUSS5,60,type1_b,0.0,0.0375,0.0125,4
CNN Final FC128 + GAUSS5,90,power,0.0,0.575,0.103077640640442,4
CNN Final FC128 + GAUSS5,90,type1_a,0.0,0.0625,0.0125,4
CNN Final FC128 + GAUSS5,90,type1_b,0.0,0.0125,0.0125,4
CNN Final FC128 + GAUSS5,120,power,0.0,0.7375,0.0515388203202208,4
CNN Final FC128 + GAUSS5,120,type1_a,0.0,0.0875,0.0375,4
CNN Final FC128 + GAUSS5,120,type1_b,0.0,0.025,0.0144337567297406,4
CNN Final FC128 + GAUSS5,150,power,0.0,0.875,0.0478713553878169,4
CNN Final FC128 + GAUSS5,150,type1_a,0.0,0.0625,0.0239356776939085,4
CNN Final FC128 + GAUSS5,150,type1_b,0.0,0.0125,0.0125,4
