sample_size,outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
30,1,1,power,GEXP-5,0,5,49602454.415289134,1843098.4059143143,4.7125666254909484e-07,0.4130281238721203,12.690373066987764
30,1,2,power,GEXP-5,0,5,29172593.236179903,1706452.1388873209,4.98102534083209e-07,1.1427872478838688,11.734505745048718
30,1,3,power,GEXP-5,0,5,22542044.52126708,1691104.3218707673,5.135203337179976e-07,0.6011617704129066,10.157946987911957
30,1,4,power,GEXP-5,0,5,28314236.405565027,1797050.1435682597,4.878714804706786e-07,4.878290079252626,9.838462941030253
30,1,5,power,GEXP-5,0,5,18262022.635625504,1898276.8728062643,4.376951097948712e-07,0.5466275348693443,12.890303843677763
30,1,6,power,GEXP-5,0,5,54611411.609687015,1878378.990592069,4.7053639258879443e-07,0.5826729506829516,13.215814499207532
30,1,7,power,GEXP-5,0,5,19897950.686661005,1708470.7384856984,4.575018489610717e-07,1.1784624230763026,12.213671564349676
30,1,8,power,GEXP-5,0,5,19494087.51090279,1903610.9539436365,4.4083395477568403e-07,7.242552616578081,13.486443130585428
30,1,9,power,GEXP-5,0,5,203421531.0104024,2023211.3726757215,4.094593396941886e-07,3.5466855693562565,8.497770124557091
30,1,10,power,GEXP-5,0,5,72745553.1250456,1768935.0888502363,5.905813420667444e-07,2.5200006628983296,9.402969563904861
30,1,11,power,GEXP-5,0,5,25328672.330203276,1946090.5527514748,3.826469683564036e-07,1.13361125643653,10.705934873909131
30,1,12,power,GEXP-5,0,5,11809603.851783123,1788384.979325087,3.838834250991901e-07,1.4397176937356324,15.41233231115017
30,1,13,power,GEXP-5,0,5,71945169.91101716,1920003.6808579408,4.715015589182634e-07,1.1876530960820908,12.705398341353929
30,1,14,power,GEXP-5,0,5,40128235.87806508,1696726.7675737576,5.166861298860789e-07,0.5913534487088254,10.262787792022506
30,1,15,power,GEXP-5,0,5,142027060.98189571,2025241.2292653797,4.125062229026151e-07,0.19092729104258055,14.194729777567522
30,1,16,power,GEXP-5,0,5,155102563.50041997,2237043.1657060883,3.706648857911802e-07,0.5487870278476379,11.233075231035068
30,1,17,power,GEXP-5,0,5,96712604.34321669,2009517.768595619,3.9823384433879783e-07,3.9015709902030045,14.345921670611864
30,1,18,power,GEXP-5,0,5,31655771.9680191,1770655.7243320628,4.435160666860839e-07,0.686837723665203,10.27762200084777
30,1,19,power,GEXP-5,0,5,62246305.04655695,2102976.432625317,4.5288268219735815e-07,1.1063031516228952,16.37657613962954
30,1,20,power,GEXP-5,0,5,104476088.95056969,2102929.1829151358,4.4328787880444966e-07,1.7188926704336716,13.46358586215618
30,2,1,power,GEXP-5,0,5,21054254.829453677,1886835.080280802,3.9763107723357943e-07,2.0916220893174398,9.403106647181618
30,2,2,power,GEXP-5,0,5,24733569.85990407,1837432.4594461366,4.268451405548067e-07,0.3102660971667426,14.673441099481982
30,2,3,power,GEXP-5,0,5,8821505.573300099,1517429.1049507067,4.91833549412401e-07,0.9441087767623095,16.848309383928477
30,2,4,power,GEXP-5,0,5,37209520.824341655,1816857.0126326485,4.481665848896686e-07,1.8654525746197406,17.21243894511892
30,2,5,power,GEXP-5,0,5,153033115.68482476,1967666.3567697813,5.097759485718721e-07,1.262790387775441,13.534851754638225
30,2,6,power,GEXP-5,0,5,28696697.82979522,1807128.2141433985,4.542854561160377e-07,0.7460864824521591,11.013509022283843
30,2,7,power,GEXP-5,0,5,8488227.66303943,1355126.7766403165,5.524451792692117e-07,8.583768902991949,12.723504554598616
30,2,8,power,GEXP-5,0,5,185930114.22055054,2063897.985053543,4.3671556484382376e-07,1.5729695478469239,12.288486128694245
30,2,9,power,GEXP-5,0,5,65283593.0604993,2001413.1817212556,4.257589305182355e-07,1.0578621520057716,8.075594792475863
30,2,10,power,GEXP-5,0,5,61861956.294825554,1740234.5712838285,6.04445229659154e-07,2.367190272955555,11.2505121556641
30,2,11,power,GEXP-5,0,5,37413204.264989935,1789395.6590447186,5.123924267504923e-07,1.9995480635000589,10.008004693675725
30,2,12,power,GEXP-5,0,5,75468254.1321266,1699829.375485307,5.139196348276293e-07,1.186544596765092,12.853584304298835
30,2,13,power,GEXP-5,0,5,166217788.16230303,2209871.287800454,3.873573303791262e-07,0.709244809835468,12.755503038682763
30,2,14,power,GEXP-5,0,5,74681928.76886445,2032526.8497011499,4.2969454356047465e-07,0.04192546307485401,15.339538106377542
30,2,15,power,GEXP-5,0,5,45326437.88561089,2042593.395443013,3.974436066447459e-07,2.4056963876072643,9.951613920446428
30,2,16,power,GEXP-5,0,5,28706326.491595447,1860308.0776565552,4.4183883558727886e-07,1.4542199571384953,9.860391992344763
30,2,17,power,GEXP-5,0,5,52634513.46951533,1899463.5251552444,4.61027836866706e-07,0.2163432252947035,15.492647529790307
30,2,18,power,GEXP-5,0,5,85268909.91711634,1928395.9129811402,4.3897091589608955e-07,1.2437810449974473,13.8452011181487
30,2,19,power,GEXP-5,0,5,69828495.93615861,1832617.449369413,5.354884075827244e-07,5.260714238559956,12.270570838873866
30,2,20,power,GEXP-5,0,5,57657346.85161299,1912674.5811609053,5.010405340292215e-07,0.6576532505521584,17.349719970933297
