sample_size,scenario,method,reject_rate,reject_se,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median,runtime_sec,n_outer,n_inner,b_boot
30,power,GEXP-5,0.05,0.0245207223136842,5.0,45017096.140623555,1873064.6765505134,4.5514458407154045e-07,0.06713604927062988,4,20,100
30,power,NEW-MMMD,0.0125,0.012499999999999999,3.0,1222.886702766024,1219.2113337842898,1.395554480497304e-06,0.06817984580993652,4,20,100
60,power,GEXP-5,0.0875,0.031791199721728586,5.0,18201798.472803544,1467038.1897559485,3.9772736702206116e-07,0.17951583862304688,4,20,100
60,power,NEW-MMMD,0.1,0.033752637027780724,4.0,31176.58993570663,29430.14188060839,1.1607519219690404e-06,0.19836807250976562,4,20,100
90,power,GEXP-5,0.225,0.04698168239870363,5.0,13095466.24087335,1287800.7656683128,3.8165804365360576e-07,0.33442163467407227,4,20,100
90,power,NEW-MMMD,0.15,0.04017367360141354,4.0,27410.491130956587,25943.27570164538,1.0920330099729148e-06,0.35533618927001953,4,20,100
120,power,GEXP-5,0.475,0.05618403304872526,5.0,12645636.102087233,1241005.1764778472,3.671709799246345e-07,0.5637660026550293,4,20,100
120,power,NEW-MMMD,0.4,0.05511782546095505,4.0,26527.85132204312,25121.121135637306,9.933669386676564e-07,0.6233179569244385,4,20,100
150,power,GEXP-5,0.725,0.050236781119167954,5.0,10293804.854982976,1185921.2404073477,3.629566344631636e-07,0.8690271377563477,4,20,100
150,power,NEW-MMMD,0.7,0.05155800469472481,4.0,23376.29435551723,22357.073817246084,8.880568971340055e-07,0.9402530193328857,4,20,100
30,type1_a,GEXP-5,0.0375,0.021374819563973056,5.0,45187547.8794128,1911451.8469328445,4.5464171902338524e-07,0.06330323219299316,4,20,100
30,type1_a,NEW-MMMD,0.0,0.0,3.0,1049.7735617056028,1047.5692193991804,1.406210353216443e-06,0.06629395484924316,4,20,100
60,type1_a,GEXP-5,0.0125,0.0125,5.0,17032880.47248482,1450523.9294797676,3.921666844264379e-07,0.1773078441619873,4,20,100
60,type1_a,NEW-MMMD,0.0,0.0,4.0,29237.634052662503,27680.920416039957,1.1319571330396735e-06,0.19510507583618164,4,20,100
90,type1_a,GEXP-5,0.0,0.0,5.0,15711545.935072932,1378335.051260072,3.5958203533370183e-07,0.32953596115112305,4,20,100
90,type1_a,NEW-MMMD,0.0,0.0,4.0,31130.911243283328,29352.74317307697,1.0439342007059414e-06,0.4367489814758301,4,20,100
120,type1_a,GEXP-5,0.0,0.0,5.0,12778555.78473965,1297291.0568691026,3.598216857374742e-07,0.5757980346679688,4,20,100
120,type1_a,NEW-MMMD,0.0,0.0,4.0,28350.777582613697,26781.040304573464,1.0114203068790556e-06,0.5939090251922607,4,20,100
150,type1_a,GEXP-5,0.025,0.017565429223263183,5.0,11026071.318972263,1243577.3610101976,3.4980522244975577e-07,0.842045783996582,4,20,100
150,type1_a,NEW-MMMD,0.0,0.0,4.0,24876.906330777376,23718.65142148974,9.063394862389365e-07,0.8889117240905762,4,20,100
30,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,53539639.2612692,1893782.2165666996,4.448647477321939e-07,0.0646200180053711,4,20,100
30,type1_b,NEW-MMMD,0.0,0.0,3.0,1123.0977257332622,1120.239268781656,1.3757933283224222e-06,0.06658673286437988,4,20,100
60,type1_b,GEXP-5,0.0125,0.012499999999999999,5.0,18205017.221461818,1473452.7636190024,3.866359639370741e-07,0.16252493858337402,4,20,100
60,type1_b,NEW-MMMD,0.0,0.0,4.0,31173.054817904263,29396.48321246777,1.127161746683171e-06,0.1705930233001709,4,20,100
90,type1_b,GEXP-5,0.0,0.0,5.0,14095600.997161984,1342956.82751923,3.6001997229928254e-07,0.3696470260620117,4,20,100
90,type1_b,NEW-MMMD,0.0,0.0,4.0,30697.672975243746,28925.57238961188,1.0264763760338454e-06,0.3570399284362793,4,20,100
120,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,12368643.089815367,1265277.515632844,3.4207569982259707e-07,0.5371241569519043,4,20,100
120,type1_b,NEW-MMMD,0.0,0.0,4.0,28361.272028993626,26729.63314328345,9.645868476740581e-07,0.5808892250061035,4,20,100
150,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,9809374.674521077,1202264.6852808811,3.4382652589640647e-07,0.8575360774993896,4,20,100
150,type1_b,NEW-MMMD,0.0375,0.021374819563973056,4.0,26390.889444271554,25081.38698093176,8.505446849280288e-07,0.897831916809082,4,20,100
