sample_size,outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
30,1,1,power,GEXP-5,0,5,815560.2106268479,499396.26745258254,1.3904497270008482e-06,0.8255009668794653,15.392454535888204
30,1,2,power,GEXP-5,0,5,1217206.9985431929,673515.8786203914,1.0460142926756966e-06,4.138064484508497,13.00540007442112
30,1,3,power,GEXP-5,0,5,141916.9310443186,126618.8313551772,1.436957968870378e-06,1.4157791321621502,15.157119163129174
30,1,4,power,GEXP-5,0,5,2511971.8242617333,926840.4546389132,1.1273931924553027e-06,4.484920327002044,9.26267691026642
30,1,5,power,GEXP-5,0,5,221980.5754543886,189798.1086021647,1.139438403036367e-06,6.587562467084922,16.15145534950969
30,1,6,power,GEXP-5,0,5,2597209.3215970485,851166.9365103745,1.2971502929338853e-06,1.841013650834725,20.911468445071133
30,1,7,power,GEXP-5,0,5,1606129.142686218,705224.9688234787,1.3066337141300797e-06,4.6539348764333965,11.528473264052783
30,1,8,power,GEXP-5,0,5,5087554.085160914,1118110.2452285348,1.114136918065656e-06,11.476848454435299,17.83870803916175
30,1,9,power,GEXP-5,0,5,294933.2369541881,235954.45007961735,1.379427081280082e-06,2.1511412780122514,10.661311855138015
30,1,10,power,GEXP-5,1,5,22323922.566289414,1676544.922873172,1.012722908698372e-06,28.07605014106275,10.30168256151068
30,1,11,power,GEXP-5,0,5,909334.5581576821,502984.3866994666,1.4160422212967536e-06,4.008598044183259,11.366375029230616
30,1,12,power,GEXP-5,0,5,178504.92713665622,154063.110725451,1.3283089836764152e-06,2.3766008430586822,14.186675807331874
30,1,13,power,GEXP-5,0,5,3819887.0037476686,1003527.40972747,1.295867505297412e-06,5.195639298182321,12.909517739242206
30,1,14,power,GEXP-5,0,5,651680.8756719109,437136.7210889383,1.0754174912915734e-06,0.922909064449005,10.353123198675917
30,1,15,power,GEXP-5,0,5,2078436.9254615093,846029.4911146859,1.0735778969055943e-06,0.7668242661061555,11.247326468021079
30,1,16,power,GEXP-5,0,5,1405021.750326767,712017.8427637727,1.298012265232074e-06,1.1200538854668174,14.899089156932492
30,1,17,power,GEXP-5,1,5,624685.2846600981,428265.4024579895,1.2001181550893432e-06,15.861567781519852,12.410719047467135
