sample_size,scenario,method,reject_rate,reject_se,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median,runtime_sec,n_outer,n_inner,b_boot
30,power,GEXP-5,0.1125,0.035550596854467306,5.0,669858.4847179909,432701.0617734639,1.3023229896810768e-06,0.04315996170043945,4,20,100
30,power,NEW-MMMD,0.0625,0.02723404189566219,4.0,15268.533736594343,15052.110790487503,1.3363018568265515e-06,0.04418468475341797,4,20,100
60,power,GEXP-5,0.25,0.048717735184622316,5.0,387790.00331106863,292527.102633019,1.240128711095396e-06,0.08145809173583984,4,20,100
60,power,NEW-MMMD,0.2875,0.05092110427670921,5.0,22552.71380671711,22078.524753864214,1.2617823176201887e-06,0.09876108169555664,4,20,100
90,power,GEXP-5,0.4625,0.056095956441742964,5.0,261729.08646541994,210086.95466846405,1.2183049159198231e-06,0.1560990810394287,4,20,100
90,power,NEW-MMMD,0.45,0.05597241635310257,5.0,27567.475569369202,26868.192009655795,1.2183050247504139e-06,0.20134401321411133,4,20,100
120,power,GEXP-5,0.725,0.05023678111916796,5.0,135187.00023094355,119813.79994185819,1.2219895651482135e-06,0.231795072555542,4,20,100
120,power,NEW-MMMD,0.7,0.05155800469472481,5.0,31094.41804963766,30270.936324705646,1.22198963363788e-06,0.2830080986022949,4,20,100
150,power,GEXP-5,0.8875,0.035550596854467306,5.0,190798.05589342542,162984.04012512678,1.2034810818893904e-06,0.36994409561157227,4,20,100
150,power,NEW-MMMD,0.925,0.029633841414201185,5.0,31741.019000162927,30856.857131150548,1.2034809860671005e-06,0.4347572326660156,4,20,100
30,type1_a,GEXP-5,0.1125,0.035550596854467306,5.0,575549.8999752656,399278.9367619513,1.3304676846156459e-06,0.03516101837158203,4,20,100
30,type1_a,NEW-MMMD,0.05,0.024520722313684195,4.0,10371.500326540707,10267.429275641722,1.344284805435604e-06,0.04429912567138672,4,20,100
60,type1_a,GEXP-5,0.0375,0.021374819563973056,5.0,317787.28549029917,249891.18169508965,1.3144724652572029e-06,0.08053874969482422,4,20,100
60,type1_a,NEW-MMMD,0.025,0.017565429223263186,5.0,27265.807357418627,26588.97336470664,1.3144723931202283e-06,0.10505080223083496,4,20,100
90,type1_a,GEXP-5,0.025,0.017565429223263183,5.0,242634.22287461354,198199.4452939307,1.290769842676311e-06,0.14274096488952637,4,20,100
90,type1_a,NEW-MMMD,0.0125,0.012499999999999999,5.0,27006.749862756715,26330.72779609669,1.2907698227289256e-06,0.17193913459777832,4,20,100
120,type1_a,GEXP-5,0.0125,0.012499999999999999,5.0,236624.44196393003,194505.7133341839,1.2420937634185887e-06,0.2341780662536621,4,20,100
120,type1_a,NEW-MMMD,0.025,0.017565429223263183,5.0,26781.48761865248,26114.427822085563,1.2420938312881618e-06,0.35477304458618164,4,20,100
150,type1_a,GEXP-5,0.0125,0.0125,5.0,77673.73884236641,72190.9306592114,1.2513171281157516e-06,0.36813998222351074,4,20,100
150,type1_a,NEW-MMMD,0.0,0.0,5.0,31256.217261409227,30374.824016347826,1.2533968913529374e-06,0.4447791576385498,4,20,100
30,type1_b,GEXP-5,0.075,0.029633841414201185,5.0,835192.2600055165,496565.29197728576,1.3243989470734743e-06,0.036913156509399414,4,20,100
30,type1_b,NEW-MMMD,0.025,0.017565429223263186,4.0,10342.80484701818,10241.759669025912,1.3483341722877817e-06,0.04195666313171387,4,20,100
60,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,359666.79570605233,271824.8316770787,1.2899529328885489e-06,0.08392620086669922,4,20,100
60,type1_b,NEW-MMMD,0.0125,0.012499999999999999,4.0,17169.121443584063,16578.580365648726,1.296355913411354e-06,0.09847187995910645,4,20,100
90,type1_b,GEXP-5,0.0125,0.0125,5.0,402764.4799038242,294418.4306423487,1.2671227585469727e-06,0.1413590908050537,4,20,100
90,type1_b,NEW-MMMD,0.0,0.0,4.0,9402.17497651232,9313.401081285776,1.2671226735373586e-06,0.17217087745666504,4,20,100
120,type1_b,GEXP-5,0.0125,0.012499999999999999,5.0,305943.8446883803,238556.4788857911,1.2725787011959793e-06,0.288175106048584,4,20,100
120,type1_b,NEW-MMMD,0.0,0.0,5.0,25519.166261605726,24910.270655539847,1.2725786823388617e-06,0.28289103507995605,4,20,100
150,type1_b,GEXP-5,0.0125,0.012499999999999999,5.0,295084.90772715013,231575.52564436628,1.248072840977799e-06,0.37186098098754883,4,20,100
150,type1_b,NEW-MMMD,0.0,0.0,5.0,27067.352752603918,26411.284589844203,1.2480728322275197e-06,0.4230771064758301,4,20,100
