sample_size,outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
30,1,1,power,GEXP-5,0,5,346052668.0713057,3153942.2712990874,1.99749677002438e-07,1.5048894862703932,11.919221974010155
30,1,2,power,GEXP-5,0,5,2123263589.3343303,3816628.7922312436,1.605127543802562e-07,1.357854945635028,9.354428538756974
30,1,3,power,GEXP-5,0,5,42836477.79921149,3157997.269952637,1.819016996122114e-07,0.9907395854427818,12.243197276297758
30,1,4,power,GEXP-5,0,5,2558121521.8796806,3842286.8088552025,1.5760950817122166e-07,1.725299713930248,8.11413780409475
30,1,5,power,GEXP-5,0,5,49618989.079029664,3029198.269546288,1.9273653506247069e-07,0.07136772849974737,15.508233432645639
30,1,6,power,GEXP-5,0,5,893007069.3390203,3869739.6707085907,1.5555656197159856e-07,1.974762974202502,9.100960257411975
30,1,7,power,GEXP-5,0,5,975469080.2237918,3675105.6386849815,1.668987465625212e-07,2.7857081941871167,9.678047826436016
30,1,8,power,GEXP-5,0,5,1059861876.4699525,3552425.639895595,1.7592050318924606e-07,4.9312059145891,12.28529909462796
30,1,9,power,GEXP-5,0,5,157896863.53266636,3469700.324085024,1.7159758151753397e-07,1.4721176831881593,11.533863036245021
30,1,10,power,GEXP-5,1,5,1668525004.8929486,3569340.4884936246,1.730982891685132e-07,38.42543191765253,9.636187651458599
30,1,11,power,GEXP-5,0,5,769994506.9717941,3569768.4652133426,1.707530124736256e-07,0.7541478454037769,10.713866296199466
30,1,12,power,GEXP-5,1,5,26492503.319633853,2441252.1423457516,2.4443202393327033e-07,16.320083143147087,10.42668923397077
30,1,13,power,GEXP-5,1,5,1121932679.8378303,3288048.1937626395,1.9586844477721863e-07,56.98156005618484,12.771168870421898
30,1,14,power,GEXP-5,0,5,763371670.0470608,3889230.6629068316,1.5639015805000054e-07,5.458931172875843,12.849424876592813
30,1,15,power,GEXP-5,0,5,628701983.5122906,3690113.1398086036,1.6568366513685902e-07,2.54457982325959,12.658671466636735
30,1,16,power,GEXP-5,0,5,670312574.2780634,3555534.8418113673,1.7064167158173643e-07,0.5469076531266729,11.740034154130404
30,1,17,power,GEXP-5,0,5,405115641.0427077,3198515.647861919,1.992600024507915e-07,5.7819383626490435,12.18046001125167
30,1,18,power,GEXP-5,0,5,769271782.5408816,3628678.080655808,1.6781579173128593e-07,0.8400126123836316,9.614611302335392
30,1,19,power,GEXP-5,0,5,235900969.08822632,3527871.9184750654,1.7455119177881563e-07,1.1283092655955818,12.967377756396415
30,1,20,power,GEXP-5,0,5,790442915.6367917,3655584.101568928,1.714447233820498e-07,1.7373214855121937,14.450577685215734
30,2,1,power,GEXP-5,0,5,1307271001.7173324,4033432.209935534,1.4685471352971007e-07,0.3015544621654058,8.866601008377785
