sample_size,scenario,method,reject_rate,reject_se,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median,runtime_sec,n_outer,n_inner,b_boot
30,power,GEXP-5,0.0875,0.03179119972172858,5.0,664416695.4730256,3613438.3523787083,1.693893479287268e-07,8.698039054870605,4,20,100
30,power,NEW-MMMD,0.0625,0.02723404189566219,3.0,3219.6024503210547,3200.085504389231,1.0055299853331882e-06,8.566717863082886,4,20,100
60,power,GEXP-5,0.175,0.0427496391279461,5.0,202512557.47332117,3132168.043990192,1.0120178307972247e-07,31.816812753677368,4,20,100
60,power,NEW-MMMD,0.125,0.0372087848617242,3.0,1722.7131152450079,1716.9746349588622,5.596006738800965e-07,32.359935998916626,4,20,100
90,power,GEXP-5,0.2125,0.04602472505573168,5.0,102230673.35388291,2772203.4936529445,7.866437379489066e-08,83.32015299797058,4,20,100
90,power,NEW-MMMD,0.2,0.04500351603704096,3.0,1214.0838773943144,1210.8872519853385,4.061158543800823e-07,85.53221392631531,4,20,100
120,power,GEXP-5,0.3125,0.05214921992935758,5.0,66169369.77366333,2496654.2657719366,6.679134013447964e-08,159.39170098304749,4,20,100
120,power,NEW-MMMD,0.275,0.05023678111916796,4.0,29559.245139084946,29143.72985695002,7.533081555205475e-08,165.18457889556885,4,20,100
150,power,GEXP-5,0.25,0.048717735184622316,5.0,52339451.98901342,2321445.6035355837,5.9161200879143087e-08,251.84061002731323,4,20,100
150,power,NEW-MMMD,0.2625,0.04950306856618441,4.0,25625.785118651846,25310.791787579627,6.28375400517414e-08,249.89828896522522,4,20,100
30,type1_a,GEXP-5,0.075,0.029633841414201185,5.0,796877459.4466444,3670327.239267205,1.6426357278992657e-07,8.57556414604187,4,20,100
30,type1_a,NEW-MMMD,0.0125,0.0125,3.0,3406.8111729879042,3385.246621771169,9.87660215607443e-07,8.538964033126831,4,20,100
60,type1_a,GEXP-5,0.05,0.024520722313684195,5.0,205719729.30241108,3190110.519172269,9.699039491173337e-08,32.55013918876648,4,20,100
60,type1_a,NEW-MMMD,0.0125,0.012499999999999999,3.0,1705.4156090910956,1699.691999265713,5.435653822779059e-07,34.07637310028076,4,20,100
90,type1_a,GEXP-5,0.0125,0.012499999999999999,5.0,131091940.88047206,2856515.738181077,7.605934638771922e-08,86.1350200176239,4,20,100
90,type1_a,NEW-MMMD,0.0125,0.012499999999999999,3.0,1193.598677072454,1190.757619544785,3.996947041453428e-07,87.57717299461365,4,20,100
120,type1_a,GEXP-5,0.025,0.017565429223263186,5.0,94626574.30131689,2646822.7318246206,6.258934336071764e-08,163.59255981445312,4,20,100
120,type1_a,NEW-MMMD,0.0125,0.0125,3.0,1103.5435844745941,1100.9526362353145,3.048696165442847e-07,165.74109816551208,4,20,100
150,type1_a,GEXP-5,0.0,0.0,5.0,60704500.668764606,2376167.2789449133,5.8609716970136106e-08,249.1072540283203,4,20,100
150,type1_a,NEW-MMMD,0.0,0.0,4.0,28142.110647216017,27776.33693532028,6.392779878372676e-08,253.8874969482422,4,20,100
30,type1_b,GEXP-5,0.0125,0.012499999999999999,5.0,434162782.3893112,3581763.844377364,1.708097807445261e-07,8.622045993804932,4,20,100
30,type1_b,NEW-MMMD,0.0,0.0,3.0,2992.928255310734,2975.9323564368324,1.0049419359209286e-06,8.545817136764526,4,20,100
60,type1_b,GEXP-5,0.0625,0.02723404189566219,5.0,146251809.7422518,3163457.221693631,9.86058036787638e-08,36.01091718673706,4,20,100
60,type1_b,NEW-MMMD,0.0125,0.012499999999999999,3.0,1661.5459965510686,1655.984888108077,5.40034431047833e-07,36.89482021331787,4,20,100
90,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,64420764.27943759,2713078.6655899817,7.805567259847634e-08,87.63646626472473,4,20,100
90,type1_b,NEW-MMMD,0.0125,0.012499999999999999,4.0,20774.389432187512,20587.506599854012,9.515394930314399e-08,88.16974782943726,4,20,100
120,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,49921910.65650125,2440101.845482217,6.659891955009482e-08,165.90509414672852,4,20,100
120,type1_b,NEW-MMMD,0.025,0.017565429223263186,4.0,23939.447031375796,23665.84693871889,7.08383696306353e-08,159.69293403625488,4,20,100
150,type1_b,GEXP-5,0.025,0.017565429223263183,5.0,31562556.438817415,2259874.33454646,5.9118241963593655e-08,254.56944799423218,4,20,100
150,type1_b,NEW-MMMD,0.05,0.024520722313684195,4.0,25930.327764490597,25618.730443414468,6.086167089685074e-08,252.25434708595276,4,20,100
